trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,pickup_type,drop_off_type
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_4616360490,0,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_6315672385,1,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_6956317386,2,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_9402954182,3,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_7739047808,4,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_6128564185,5,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3168095079,6,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3168095080,7,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3168095081,8,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3168095082,9,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3168095083,10,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_6315679795,11,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3162508872,12,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3167018763,13,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_9403108739,14,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3167018764,15,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3167018765,16,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_6128564186,17,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3167021689,18,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3167021690,19,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_3167021691,20,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_9404173938,21,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_1774952214,22,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_12871231499,23,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_9470667890,24,0.0,0,0
trip_ho chi minh city_109_0_1,00:00:00,00:00:00,ho chi minh city_stop_9470667891,25,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_13619847102,0,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3016612589,1,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3124681592,2,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_7520799030,3,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9468454790,4,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9468454791,5,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_11753277684,6,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_5423964121,7,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_5423964222,8,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_11753277685,9,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9468454792,10,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_6315671616,11,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_6315672801,12,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3124681921,13,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3124681597,14,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3124681595,15,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_11753277686,16,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9470342579,17,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_11753277687,18,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3160548762,19,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3150110712,20,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9470342578,21,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_3160545659,22,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9470667880,23,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_4614188879,24,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9042277025,25,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9042277026,26,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9042278313,0,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9042278316,1,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_4614188880,2,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_2392398232,3,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9470667882,4,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3116339930,5,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11753277690,6,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3116339932,7,0.0,0,0
