route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
ho chi minh city_109,service_daily,trip_ho chi minh city_109_0_1,Bến xe Sài Gòn - Sân bay Tân Sơn Nhất,0,shape_ho chi minh city_109_out
ho chi minh city_01,service_daily,trip_ho chi minh city_01_0_2,Ga Ba Son - Bến xe Chợ Lớn,0,shape_ho chi minh city_01_out
ho chi minh city_01,service_daily,trip_ho chi minh city_01_0_3,Bến xe Chợ Lớn - Ga Ba Son,0,shape_ho chi minh city_01_out
ho chi minh city_D2,service_daily,trip_ho chi minh city_D2_0_4,Sky Garden - Crescent Mall,0,shape_ho chi minh city_D2_out
ho chi minh city_D2,service_daily,trip_ho chi minh city_D2_0_5,Crescent Mall - Sky Garden,0,shape_ho chi minh city_D2_out
ho chi minh city_01,service_daily,trip_ho chi minh city_01_0_6,Trường Đại học Công nghệ Đồng Nai - Bến xe Ngã tư Vũng Tàu,0,shape_ho chi minh city_01_out
ho chi minh city_02,service_daily,trip_ho chi minh city_02_0_7,Bến xe Biên Hòa - Trạm xe Nhơn Trạch,0,shape_ho chi minh city_02_out
ho chi minh city_01,service_daily,trip_ho chi minh city_01_0_8,Bến xe Ngã tư Vũng Tàu - Trường Đại học Công nghệ Đồng Nai,0,shape_ho chi minh city_01_out
ho chi minh city_03,service_daily,trip_ho chi minh city_03_0_9,Bến xe Hố Nai - Trạm xe Hóa An,0,shape_ho chi minh city_03_out
ho chi minh city_02,service_daily,trip_ho chi minh city_02_0_10,Trạm xe Nhơn Trạch - Bến xe Biên Hòa,0,shape_ho chi minh city_02_out
ho chi minh city_03,service_daily,trip_ho chi minh city_03_0_11,Trạm xe Hóa An - Bến xe Hố Nai,0,shape_ho chi minh city_03_out
ho chi minh city_08,service_daily,trip_ho chi minh city_08_0_12,Trạm xe Big C - Bến xe Thạnh Phú,0,shape_ho chi minh city_08_out
ho chi minh city_11,service_daily,trip_ho chi minh city_11_0_13,Bến xe Ngã tư Vũng Tàu - Trạm xe Gò Dầu,0,shape_ho chi minh city_11_out
ho chi minh city_08,service_daily,trip_ho chi minh city_08_0_14,Bến xe Thạnh Phú - Trạm xe Big C,0,shape_ho chi minh city_08_out
ho chi minh city_60-18,service_daily,trip_ho chi minh city_60-18_0_15,Khu du lịch sinh thái Vườn Xoài - Khu du lịch Đại Nam,0,shape_ho chi minh city_60-18_out
ho chi minh city_16,service_daily,trip_ho chi minh city_16_0_16,Bến xe Biên Hòa - Bến xe Phương Lâm,0,shape_ho chi minh city_16_out
ho chi minh city_03,service_daily,trip_ho chi minh city_03_0_17,Bến Thành - Thạnh Xuân,0,shape_ho chi minh city_03_out
ho chi minh city_03,service_daily,trip_ho chi minh city_03_0_18,Thạnh Xuân - Bến Thành,0,shape_ho chi minh city_03_out
ho chi minh city_04,service_daily,trip_ho chi minh city_04_0_19,Bến Thành - Cộng Hòa - Bến xe An Sương,0,shape_ho chi minh city_04_out
ho chi minh city_04,service_daily,trip_ho chi minh city_04_0_20,Bến xe An Sương - Cộng Hòa - Bến Thành,0,shape_ho chi minh city_04_out
ho chi minh city_05,service_daily,trip_ho chi minh city_05_0_21,Bến xe Chợ Lớn - Bến xe Biên Hòa,0,shape_ho chi minh city_05_out
ho chi minh city_05,service_daily,trip_ho chi minh city_05_0_22,Bến xe Biên Hòa - Bến xe Chợ Lớn,0,shape_ho chi minh city_05_out
ho chi minh city_06,service_daily,trip_ho chi minh city_06_0_23,Đại học Nông Lâm,0,shape_ho chi minh city_06_out
ho chi minh city_06,service_daily,trip_ho chi minh city_06_0_24,Đại học Nông Lâm - Bến xe Chợ Lớn,0,shape_ho chi minh city_06_out
ho chi minh city_07,service_daily,trip_ho chi minh city_07_0_25,Bến xe Chợ Lớn - Gò Vấp,0,shape_ho chi minh city_07_out
ho chi minh city_07,service_daily,trip_ho chi minh city_07_0_26,Gò Vấp - Bên xe Chợ Lớn,0,shape_ho chi minh city_07_out
ho chi minh city_08,service_daily,trip_ho chi minh city_08_0_27,Bến xe Quận 8 - Đại học Quốc gia,0,shape_ho chi minh city_08_out
ho chi minh city_08,service_daily,trip_ho chi minh city_08_0_28,Đại học Quốc gia - Bến xe Quận 8,0,shape_ho chi minh city_08_out
ho chi minh city_09,service_daily,trip_ho chi minh city_09_0_29,Bến xe Chợ Lớn - Bình Chánh - Hưng Long,0,shape_ho chi minh city_09_out
ho chi minh city_09,service_daily,trip_ho chi minh city_09_0_30,Hưng Long - Bình Chánh - Bến xe Chợ Lớn,0,shape_ho chi minh city_09_out
ho chi minh city_10,service_daily,trip_ho chi minh city_10_0_31,Đại học Quốc gia - Bến xe Miền Tây,0,shape_ho chi minh city_10_out
ho chi minh city_10,service_daily,trip_ho chi minh city_10_0_32,Bến xe Miền Tây - Đại học Quốc gia,0,shape_ho chi minh city_10_out
ho chi minh city_13,service_daily,trip_ho chi minh city_13_0_33,Bến xe Sài Gòn - Bến xe Củ Chi,0,shape_ho chi minh city_13_out
ho chi minh city_13,service_daily,trip_ho chi minh city_13_0_34,Bến xe Củ Chi - Bến xe Sài Gòn,0,shape_ho chi minh city_13_out
ho chi minh city_14,service_daily,trip_ho chi minh city_14_0_35,Bến xe Miền Đông - Bến xe Miền Tây,0,shape_ho chi minh city_14_out
ho chi minh city_14,service_daily,trip_ho chi minh city_14_0_36,Bến xe Miền Tây - Bến xe Miền Đông,0,shape_ho chi minh city_14_out
ho chi minh city_15,service_daily,trip_ho chi minh city_15_0_37,Chợ Phú Định - Đầm Sen,0,shape_ho chi minh city_15_out
ho chi minh city_15,service_daily,trip_ho chi minh city_15_0_38,Đầm Sen - Chợ Phú Định,0,shape_ho chi minh city_15_out
ho chi minh city_16,service_daily,trip_ho chi minh city_16_0_39,Bến xe Chợ Lớn - Bến xe Tân Phú,0,shape_ho chi minh city_16_out
ho chi minh city_16,service_daily,trip_ho chi minh city_16_0_40,Bến xe Tân Phú - Bến xe Chợ Lớn,0,shape_ho chi minh city_16_out
ho chi minh city_18,service_daily,trip_ho chi minh city_18_0_41,Bến Thành - Chợ Hiệp Thành,0,shape_ho chi minh city_18_out
ho chi minh city_18,service_daily,trip_ho chi minh city_18_0_42,Chợ Hiệp Thành - Bến Thành,0,shape_ho chi minh city_18_out
ho chi minh city_19,service_daily,trip_ho chi minh city_19_0_43,Bến xe Sài Gòn - Khu chế xuất Linh Trung - Đại học Quốc gia,0,shape_ho chi minh city_19_out
ho chi minh city_19,service_daily,trip_ho chi minh city_19_0_44,Đại học Quốc gia - Khu chế xuất Linh Trung - Bến xe Sài Gòn,0,shape_ho chi minh city_19_out
ho chi minh city_20,service_daily,trip_ho chi minh city_20_0_45,Bến Thành - Nhà Bè,0,shape_ho chi minh city_20_out
ho chi minh city_20,service_daily,trip_ho chi minh city_20_0_46,Nhà Bè - Bến Thành,0,shape_ho chi minh city_20_out
ho chi minh city_22,service_daily,trip_ho chi minh city_22_0_47,Bến xe Quận 8 - Bến xe buýt Lê Minh Xuân,0,shape_ho chi minh city_22_out
ho chi minh city_22,service_daily,trip_ho chi minh city_22_0_48,Bến xe buýt Lê Minh Xuân - Bến xe Quận 8,0,shape_ho chi minh city_22_out
