service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service-2273,0,0,0,0,0,1,1,20250825,20300205
service-2264,0,0,0,0,1,1,0,20250825,20300205
service-2274,0,0,0,0,0,1,1,20250825,20300205
service-2272,0,0,0,0,0,1,1,20250825,20300205
service-2259,0,0,0,0,1,1,0,20250825,20300205
service-2265,0,0,0,0,1,1,0,20250825,20300205
service-2271,0,0,0,0,0,1,1,20250825,20300205
service-2266,0,0,0,0,1,1,0,20250825,20300205
service-2269,0,0,0,0,0,1,1,20250825,20300205
service-2267,0,0,0,0,1,1,0,20250825,20300205
service-2268,0,0,0,0,0,1,1,20250825,20300205
service-2270,0,0,0,0,0,1,1,20250825,20300205
service-2102,1,1,1,1,1,0,0,20250602,20300205
service-2103,1,1,1,1,1,0,0,20250602,20300205
service-2104,1,1,1,1,1,0,0,20250602,20300205
service-2200,0,0,0,0,0,0,1,20250825,20300205
service-2205,0,0,0,0,0,1,0,20250825,20300205
service-2204,0,0,0,0,0,1,0,20250825,20300205
service-2206,0,0,0,0,0,1,0,20250825,20300205
service-2203,0,0,0,0,1,0,0,20250825,20300205
service-2195,0,0,0,0,0,0,1,20250825,20300205
service-2201,0,0,0,0,0,0,1,20250825,20300205
service-2202,0,0,0,0,1,0,0,20250825,20300205
service-2101,1,1,1,1,1,0,0,20250602,20300205
service-2214,1,1,1,1,1,0,0,20250825,20300205
service-2215,1,1,1,1,1,0,0,20250825,20300205
service-2216,1,1,1,1,1,0,0,20250825,20300205
service-2230,1,1,1,1,1,0,0,20250825,20300205
service-2217,1,1,1,1,1,0,0,20250825,20300205
service-2232,1,1,1,1,1,0,0,20250825,20300205
service-2224,1,1,1,1,1,0,0,20250825,20300205
service-2221,1,1,1,1,1,0,0,20250825,20300205
service-2218,1,1,1,1,1,0,0,20250825,20300205
service-2234,0,0,0,0,0,0,1,20250825,20300205
service-2223,1,1,1,1,1,0,0,20250825,20300205
service-2219,1,1,1,1,1,0,0,20250825,20300205
service-2207,0,0,0,0,0,1,0,20250825,20300205
service-2235,0,0,0,0,0,0,1,20250825,20300205
service-2208,0,0,0,0,0,1,0,20250825,20300205
service-3031,0,0,0,0,0,1,0,20250825,20300205
service-3037,0,0,0,0,0,0,1,20250825,20300205
service-3042,0,0,0,0,0,0,1,20250825,20300205
service-2239,0,0,0,0,1,0,0,20250825,20300205
service-2233,1,1,1,1,1,0,0,20250825,20300205
service-2220,1,1,1,1,1,0,0,20250825,20300205
service-2323,1,0,1,0,1,0,0,20250825,20300205
service-2236,0,0,0,0,0,0,1,20250825,20300205
service-2209,0,0,0,0,0,1,0,20250825,20300205
service-2226,1,1,1,1,1,0,0,20250825,20300205
service-2222,1,1,1,1,1,0,0,20250825,20300205
service-3043,0,0,0,0,0,0,1,20250825,20300205
service-2210,0,0,0,0,0,1,0,20250825,20300205
service-2253,0,0,0,0,0,1,0,20250825,20300205
service-3038,0,0,0,0,0,0,1,20250825,20300205
service-2231,1,1,1,1,1,0,0,20250825,20300205
service-2238,0,0,0,0,0,0,1,20250825,20300205
service-2227,1,1,1,1,1,0,0,20250825,20300205
service-2211,0,0,0,0,0,1,0,20250825,20300205
service-2256,0,0,0,0,0,1,0,20250825,20300205
service-2255,0,0,0,0,0,1,0,20250825,20300205
service-2240,0,0,0,0,1,0,0,20250825,20300205
service-2228,1,1,1,1,1,0,0,20250825,20300205
service-2212,0,0,0,0,0,1,0,20250825,20300205
service-2327,1,0,1,0,1,0,0,20250825,20300205
service-2326,1,0,1,0,1,0,0,20250825,20300205
service-2324,1,0,1,0,1,0,0,20250825,20300205
service-2321,1,0,1,0,1,0,0,20250825,20300205
service-2257,0,0,0,0,0,1,0,20250825,20300205
service-2213,1,1,1,1,1,0,0,20250825,20300205
service-2241,0,0,0,0,1,0,0,20250825,20300205
service-2229,1,1,1,1,1,0,0,20250825,20300205
service-2325,1,0,1,0,1,0,0,20250825,20300205
service-2322,1,0,1,0,1,0,0,20250825,20300205
service-2319,1,0,1,0,1,0,0,20250825,20300205
service-3032,0,0,0,0,0,1,0,20250825,20300205
service-3044,0,0,0,0,0,0,1,20250825,20300205
service-3033,0,0,0,0,0,1,0,20250825,20300205
service-3034,0,0,0,0,0,1,0,20250825,20300205
service-3036,0,0,0,0,0,0,1,20250825,20300205
service-3039,0,0,0,0,0,0,1,20250825,20300205
service-2237,0,0,0,0,0,0,1,20250825,20300205
service-3045,0,0,0,0,0,0,1,20250825,20300205
service-2258,0,0,0,0,0,1,0,20250825,20300205
service-3030,0,0,0,0,0,1,0,20250825,20300205
service-3041,0,0,0,0,0,0,1,20250825,20300205
service-3035,0,0,0,0,0,1,0,20250825,20300205
service-2225,1,1,1,1,1,0,0,20250825,20300205
