"service_id","date","exception_type"
"service-2101","20260101","2"
"service-2101","20260525","2"
"service-2101","20260704","2"
"service-2101","20260907","2"
"service-2101","20261126","2"
"service-2101","20261225","2"
"service-2101","20270101","2"
"service-2101","20270531","2"
"service-2101","20270704","2"
"service-2101","20270906","2"
"service-2101","20271125","2"
"service-2101","20271225","2"
"service-2101","20280101","2"
"service-2101","20280529","2"
"service-2101","20280704","2"
"service-2101","20280904","2"
"service-2101","20281123","2"
"service-2101","20281225","2"
"service-2101","20290101","2"
"service-2101","20290528","2"
"service-2101","20290704","2"
"service-2101","20290903","2"
"service-2101","20291122","2"
"service-2101","20291225","2"
"service-2101","20300101","2"
"service-2102","20260101","2"
"service-2102","20260525","2"
"service-2102","20260704","2"
"service-2102","20260907","2"
"service-2102","20261126","2"
"service-2102","20261225","2"
"service-2102","20270101","2"
"service-2102","20270531","2"
"service-2102","20270704","2"
"service-2102","20270906","2"
"service-2102","20271125","2"
"service-2102","20271225","2"
"service-2102","20280101","2"
"service-2102","20280529","2"
"service-2102","20280704","2"
"service-2102","20280904","2"
"service-2102","20281123","2"
"service-2102","20281225","2"
"service-2102","20290101","2"
"service-2102","20290528","2"
"service-2102","20290704","2"
"service-2102","20290903","2"
"service-2102","20291122","2"
"service-2102","20291225","2"
"service-2102","20300101","2"
"service-2103","20260101","2"
"service-2103","20260525","2"
"service-2103","20260704","2"
"service-2103","20260907","2"
"service-2103","20261126","2"
"service-2103","20261225","2"
"service-2103","20270101","2"
"service-2103","20270531","2"
"service-2103","20270704","2"
"service-2103","20270906","2"
"service-2103","20271125","2"
"service-2103","20271225","2"
"service-2103","20280101","2"
"service-2103","20280529","2"
"service-2103","20280704","2"
"service-2103","20280904","2"
"service-2103","20281123","2"
"service-2103","20281225","2"
"service-2103","20290101","2"
"service-2103","20290528","2"
"service-2103","20290704","2"
"service-2103","20290903","2"
"service-2103","20291122","2"
"service-2103","20291225","2"
"service-2103","20300101","2"
"service-2104","20260101","2"
"service-2104","20260525","2"
"service-2104","20260704","2"
"service-2104","20260907","2"
"service-2104","20261126","2"
"service-2104","20261225","2"
"service-2104","20270101","2"
"service-2104","20270531","2"
"service-2104","20270704","2"
"service-2104","20270906","2"
"service-2104","20271125","2"
"service-2104","20271225","2"
"service-2104","20280101","2"
"service-2104","20280529","2"
"service-2104","20280704","2"
"service-2104","20280904","2"
"service-2104","20281123","2"
"service-2104","20281225","2"
"service-2104","20290101","2"
"service-2104","20290528","2"
"service-2104","20290704","2"
"service-2104","20290903","2"
"service-2104","20291122","2"
"service-2104","20291225","2"
"service-2104","20300101","2"
"service-2195","20260101","2"
"service-2195","20260525","2"
"service-2195","20260704","2"
"service-2195","20260907","2"
"service-2195","20261126","2"
"service-2195","20261225","2"
"service-2195","20270101","2"
"service-2195","20270531","2"
"service-2195","20270704","2"
"service-2195","20270906","2"
"service-2195","20271125","2"
"service-2195","20271225","2"
"service-2195","20280101","2"
"service-2195","20280529","2"
"service-2195","20280704","2"
"service-2195","20280904","2"
"service-2195","20281123","2"
"service-2195","20281225","2"
"service-2195","20290101","2"
"service-2195","20290528","2"
"service-2195","20290704","2"
"service-2195","20290903","2"
"service-2195","20291122","2"
"service-2195","20291225","2"
"service-2195","20300101","2"
"service-2200","20260101","2"
"service-2200","20260525","2"
"service-2200","20260704","2"
"service-2200","20260907","2"
"service-2200","20261126","2"
"service-2200","20261225","2"
"service-2200","20270101","2"
"service-2200","20270531","2"
"service-2200","20270704","2"
"service-2200","20270906","2"
"service-2200","20271125","2"
"service-2200","20271225","2"
"service-2200","20280101","2"
"service-2200","20280529","2"
"service-2200","20280704","2"
"service-2200","20280904","2"
"service-2200","20281123","2"
"service-2200","20281225","2"
"service-2200","20290101","2"
"service-2200","20290528","2"
"service-2200","20290704","2"
"service-2200","20290903","2"
"service-2200","20291122","2"
"service-2200","20291225","2"
"service-2200","20300101","2"
"service-2201","20260101","2"
"service-2201","20260525","2"
"service-2201","20260704","2"
"service-2201","20260907","2"
"service-2201","20261126","2"
"service-2201","20261225","2"
"service-2201","20270101","2"
"service-2201","20270531","2"
"service-2201","20270704","2"
"service-2201","20270906","2"
"service-2201","20271125","2"
"service-2201","20271225","2"
"service-2201","20280101","2"
"service-2201","20280529","2"
"service-2201","20280704","2"
"service-2201","20280904","2"
"service-2201","20281123","2"
"service-2201","20281225","2"
"service-2201","20290101","2"
"service-2201","20290528","2"
"service-2201","20290704","2"
"service-2201","20290903","2"
"service-2201","20291122","2"
"service-2201","20291225","2"
"service-2201","20300101","2"
"service-2202","20260101","2"
"service-2202","20260525","2"
"service-2202","20260704","2"
"service-2202","20260907","2"
"service-2202","20261126","2"
"service-2202","20261225","2"
"service-2202","20270101","2"
"service-2202","20270531","2"
"service-2202","20270704","2"
"service-2202","20270906","2"
"service-2202","20271125","2"
"service-2202","20271225","2"
"service-2202","20280101","2"
"service-2202","20280529","2"
"service-2202","20280704","2"
"service-2202","20280904","2"
"service-2202","20281123","2"
"service-2202","20281225","2"
