route_id,trip_id,pattern_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,departure_time,arrival_time,travel_seconds,shape_distance
1042,2214,pattern-1,3759,MacVittie Union,3761,Parking Lot H,08:26:30,08:31:00,270,0.8429931836869539
1042,2214,pattern-1,3761,Parking Lot H,3762,Erie Hall,08:31:30,08:33:00,90,0.5699381974879453
1042,2214,pattern-1,3762,Erie Hall,3763,Milne Library & Newton Hall,08:33:30,08:36:00,150,0.2983729018215393
1042,2214,pattern-1,3763,Milne Library & Newton Hall,3764,North St @ Highland Rd,08:36:30,08:39:00,150,1.251761367419372
1042,2214,pattern-1,3764,North St @ Highland Rd,3773,Center St after Highland,08:39:30,08:40:00,30,0.4514192909708714
1042,2214,pattern-1,3773,Center St after Highland,3765,Center St @ Main St,08:40:30,08:41:00,30,0.7579382945635982
1042,2214,pattern-1,3765,Center St @ Main St,3774,Main St @ Park St,08:41:30,08:43:00,90,0.21619740724394365
1042,2214,pattern-1,3774,Main St @ Park St,3771,10 MJ Drive,08:43:30,08:46:00,150,0.7299280769911594
1042,2214,pattern-1,3771,10 MJ Drive,3772,Bus Shelter / Wayne Hall,08:46:30,08:50:00,210,0.37953266283419573
1042,2214,pattern-1,3772,Bus Shelter / Wayne Hall,3759,MacVittie Union,08:50:30,08:55:00,270,0.9887597946638351
1042,2214,pattern-1,3759,MacVittie Union,3761,Parking Lot H,08:55:30,09:05:00,570,0.8429931836869571
1042,2214,pattern-1,3761,Parking Lot H,3762,Erie Hall,09:05:30,09:07:00,90,0.5699381974879465
1042,2214,pattern-1,3762,Erie Hall,3763,Milne Library & Newton Hall,09:07:30,09:10:00,150,0.298372901821538
1042,2214,pattern-1,3763,Milne Library & Newton Hall,3761,Parking Lot H,09:10:30,09:14:00,210,0.9210366029325261
1042,2214,pattern-1,3761,Parking Lot H,3762,Erie Hall,09:14:30,09:16:00,90,0.5699381974879447
1042,2214,pattern-1,3762,Erie Hall,3763,Milne Library & Newton Hall,09:16:30,09:20:00,210,0.29837290182153886
1042,2214,pattern-1,3763,Milne Library & Newton Hall,3764,North St @ Highland Rd,09:20:30,09:23:00,150,1.2517613674193697
1042,2214,pattern-1,3764,North St @ Highland Rd,3773,Center St after Highland,09:23:30,09:24:00,30,0.45141929097087186
1042,2214,pattern-1,3773,Center St after Highland,3765,Center St @ Main St,09:24:30,09:25:00,30,0.7579382945635995
1042,2214,pattern-1,3765,Center St @ Main St,3774,Main St @ Park St,09:25:30,09:27:00,90,0.21619740724394276
1042,2214,pattern-1,3774,Main St @ Park St,3771,10 MJ Drive,09:27:30,09:30:00,150,0.7299280769911576
1042,2214,pattern-1,3771,10 MJ Drive,3772,Bus Shelter / Wayne Hall,09:30:30,09:34:00,210,0.37953266283419573
1042,2214,pattern-1,3772,Bus Shelter / Wayne Hall,3759,MacVittie Union,09:34:30,09:38:00,210,0.9887597946638351
1042,2215,pattern-2,3759,MacVittie Union,3761,Parking Lot H,09:38:30,09:43:00,270,0.8429931836869539
1042,2215,pattern-2,3761,Parking Lot H,3762,Erie Hall,09:43:30,09:45:00,90,0.5699381974879453
1042,2215,pattern-2,3762,Erie Hall,3763,Milne Library & Newton Hall,09:45:30,09:48:00,150,0.2983729018215393
1042,2215,pattern-2,3763,Milne Library & Newton Hall,3764,North St @ Highland Rd,09:48:30,09:51:00,150,1.251761367419372
1042,2215,pattern-2,3764,North St @ Highland Rd,3773,Center St after Highland,09:51:30,09:52:00,30,0.4514192909708714
