shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-2214,42.79672,-77.82242,0,0
shape-2214,42.796785,-77.822404,1,0.007344631717750002
shape-2214,42.79691,-77.822379,2,0.021392894670438076
shape-2214,42.79695,-77.822383,3,0.025852656420530695
shape-2214,42.796987,-77.822399,4,0.030169022725510475
shape-2214,42.797021,-77.822428,5,0.03462904727932783
shape-2214,42.797049,-77.822466,6,0.039022964501520006
shape-2214,42.797069,-77.822512,7,0.04338555097046473
shape-2214,42.79708,-77.822564,8,0.047801077193498714
shape-2214,42.797082,-77.822618,9,0.05221260107026037
shape-2214,42.797076,-77.822659,10,0.0556237140873979
shape-2214,42.797075,-77.822671,11,0.05660910031991783
shape-2214,42.797044,-77.822758,12,0.06450021676997693
shape-2214,42.797103,-77.822794,13,0.07168825543377687
shape-2214,42.797152,-77.822856,14,0.07912308130340653
shape-2214,42.797187,-77.82291,15,0.08500171714734873
shape-2214,42.797217,-77.822991,16,0.0924047528135722
shape-2214,42.797235,-77.823083,17,0.10017337092784952
shape-2214,42.797259,-77.823267,18,0.11542142733871513
shape-2214,42.797289,-77.823391,19,0.1260744434009029
shape-2214,42.79732,-77.82346,20,0.13267568082039086
shape-2214,42.797353,-77.823518,21,0.13866392399687102
shape-2214,42.797427,-77.823592,22,0.14886985683258408
shape-2214,42.797525,-77.82364,23,0.16044936333058518
shape-2214,42.797627,-77.823642,24,0.17179243746465275
shape-2214,42.797981,-77.823542,25,0.2119921928485347
shape-2214,42.798684,-77.823343,26,0.2918307187430948
shape-2214,42.798969,-77.823272,27,0.32404641193803857
shape-2214,42.799164,-77.823217,28,0.34618892410813706
shape-2214,42.799383,-77.823156,29,0.37104402230240463
shape-2214,42.799494,-77.823143,30,0.3834321668759257
shape-2214,42.799611,-77.823147,31,0.39644608632080397
shape-2214,42.799919,-77.823201,32,0.4309763940206836
shape-2214,42.800017,-77.82321,33,0.44189822521932265
shape-2214,42.800112,-77.823198,34,0.45250703253044133
shape-2214,42.800323,-77.823139,35,0.47645790399916016
shape-2214,42.800342,-77.823133,36,0.47862658118359924
shape-2214,42.800498,-77.823088,37,0.4963572888549225
shape-2214,42.800628,-77.823043,38,0.5112715981492558
shape-2214,42.800651,-77.823031,39,0.5140100744916508
shape-2214,42.800849,-77.822927,40,0.5376051287631669
shape-2214,42.80095,-77.822866,41,0.5498891317171479
shape-2214,42.801029,-77.82282,42,0.5594416467073972
shape-2214,42.801189,-77.822736,43,0.5785071577694112
shape-2214,42.801274,-77.822701,44,0.5883806717585006
shape-2214,42.801361,-77.822674,45,0.5983022707223142
shape-2214,42.801421,-77.822656,46,0.6051336878386813
shape-2214,42.801588,-77.822634,47,0.6237898113530088
shape-2214,42.801824,-77.822596,48,0.6502143505798914
shape-2214,42.802153,-77.822468,49,0.6882588270516425
shape-2214,42.802336,-77.823058,50,0.7405179635709828
shape-2214,42.802421,-77.823336,51,0.7650889053432308
shape-2214,42.80227,-77.823468,52,0.7850361613478462
shape-2214,42.802071,-77.823486,53,0.8072126621715506
shape-2214,42.80207,-77.823593,54,0.815942905017228
shape-2214,42.802099,-77.823852,55,0.8373179070248727
shape-2214,42.802119,-77.823916,56,0.8429931836869539
shape-2214,42.802176,-77.824101,57,0.8593630798612886
shape-2214,42.802262,-77.824273,58,0.8763441721158539
shape-2214,42.802416,-77.824119,59,0.8975829513449388
shape-2214,42.802607,-77.823927,60,0.9239728718433987
shape-2214,42.802521,-77.82366,61,0.9477623694013158
shape-2214,42.802421,-77.823336,62,0.9764391342187453
shape-2214,42.802336,-77.823058,63,1.0010100759909932
shape-2214,42.802153,-77.822468,64,1.0532692125103336
shape-2214,42.802112,-77.822331,65,1.0653402964229357
shape-2214,42.801905,-77.821637,66,1.12645973234866
shape-2214,42.801588,-77.82052,67,1.224169565240411
shape-2214,42.801507,-77.820541,68,1.2333378725193345
shape-2214,42.801331,-77.820588,69,1.2532803292454997
shape-2214,42.801032,-77.820671,70,1.2872102561914052
shape-2214,42.800753,-77.820746,71,1.318831371745255
shape-2214,42.800699,-77.820761,72,1.3249593498606063
shape-2214,42.800138,-77.820913,73,1.3885605264690577
shape-2214,42.800055,-77.820935,74,1.3979626395359648
shape-2214,42.799923,-77.820971,75,1.4129313811748991
shape-2214,42.799646,-77.821047,76,1.4443503605567394
shape-2214,42.799535,-77.821061,77,1.4567457567747737
shape-2214,42.799458,-77.821044,78,1.4654193940834601
shape-2214,42.799389,-77.821003,79,1.4737893642318551
shape-2214,42.799287,-77.820898,80,1.488003012885138
shape-2214,42.799072,-77.820542,81,1.5256218687849956
shape-2214,42.799031,-77.82049,82,1.531849557636345
shape-2214,42.798992,-77.820442,83,1.5376927728693057
shape-2214,42.798912,-77.820364,84,1.5486303755689026
shape-2214,42.798815,-77.8203,85,1.560613783238158
shape-2214,42.798771,-77.820274,86,1.5659464494584379
shape-2214,42.798702,-77.820238,87,1.5741619107836344
shape-2214,42.798372,-77.820162,88,1.61137652265224
shape-2214,42.798253,-77.82013,89,1.624863855987978
shape-2214,42.798131,-77.820076,90,1.6391271789427637
shape-2214,42.798097,-77.820048,91,1.6435444378769686
shape-2214,42.798064,-77.820022,92,1.6477829314491355
shape-2214,42.798029,-77.819977,93,1.6531333074787704
shape-2214,42.797999,-77.81992,94,1.6588566073137943
shape-2214,42.797976,-77.819841,95,1.66579104647998
shape-2214,42.797958,-77.819751,96,1.6734020231062687
shape-2214,42.79792,-77.81945,97,1.6983214282283587
shape-2214,42.797916,-77.819419,98,1.700889525517196
shape-2214,42.797901,-77.819293,99,1.7113042829964384
shape-2214,42.797882,-77.819132,100,1.724609076815487
shape-2214,42.79785,-77.81887,101,1.746279772409051
shape-2214,42.797836,-77.818753,102,1.7559519037854945
shape-2214,42.797823,-77.818646,103,1.764800903632671
shape-2214,42.797758,-77.818075,104,1.8119461592542125
shape-2214,42.797747,-77.817895,105,1.8266832296650801
shape-2214,42.797746,-77.817844,106,1.8308458121425242
shape-2214,42.797758,-77.817618,107,1.8493333975791377
shape-2214,42.797781,-77.817196,108,1.8838592755879133
shape-2214,42.797772,-77.816958,109,1.9033034895606926
shape-2214,42.797729,-77.816626,110,1.9308101671703604
shape-2214,42.797709,-77.816464,111,1.944213558803434
shape-2214,42.798827,-77.816211,112,2.0702317957219334
shape-2214,42.799075,-77.816154,113,2.098197571328103
shape-2214,42.799285,-77.816107,114,2.1218613068898144
shape-2214,42.799975,-77.81595,115,2.1996478383193234
shape-2214,42.800067,-77.815822,116,2.214266707068382
shape-2214,42.80005,-77.815674,117,2.22648866465235
shape-2214,42.800003,-77.815217,118,2.2641384704021665
shape-2214,42.799827,-77.81367,119,2.3918622176436797
shape-2214,42.799376,-77.809703,120,2.719382696945622
shape-2214,42.799366,-77.809613,121,2.7268093317006232
shape-2214,42.799132,-77.80756,122,2.8963187271541506
shape-2214,42.799047,-77.806831,123,2.956542936191976
shape-2214,42.799038,-77.806752,124,2.9630656504158104
shape-2214,42.79903,-77.806685,125,2.9686039828513455
shape-2214,42.798287,-77.806835,126,3.0521234675062296
shape-2214,42.797209,-77.807053,127,3.1733042366975917
shape-2214,42.79712,-77.807071,128,3.183308981226478
shape-2214,42.797028,-77.80709,129,3.1936557234317027
shape-2214,42.79598,-77.807305,130,3.31150115414305
shape-2214,42.795764,-77.80735,131,3.335798320229784
