trip_id,arrival_time,departure_time,stop_id,stop_sequence,location_id,start_pickup_drop_off_window,end_pickup_drop_off_window,pickup_type,drop_off_type,shape_dist_traveled,stop_headsign,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
2214,08:26:00,08:26:30,3759,0,,,,,,0,,0,,
2214,08:31:00,08:31:30,3761,3,,,,,,0.8429931836869539,,0,,
2214,08:33:00,08:33:30,3762,6,,,,,,1.4129313811748991,,0,,
2214,08:36:00,08:36:30,3763,9,,,,,,1.7113042829964384,,0,,
2214,08:39:00,08:39:30,3764,12,,,,,,2.9630656504158104,,0,,
2214,08:40:00,08:40:30,3773,15,,,,,,3.414484941386682,,0,,
2214,08:41:00,08:41:30,3765,18,,,,,,4.17242323595028,,0,,
2214,08:43:00,08:43:30,3774,21,,,,,,4.388620643194224,,0,,
2214,08:46:00,08:46:30,3771,24,,,,,,5.118548720185383,,0,,
2214,08:50:00,08:50:30,3772,27,,,,,,5.498081383019579,,0,,
2214,08:55:00,08:55:30,3759,30,,,,,,6.486841177683414,,0,,
2214,09:05:00,09:05:30,3761,33,,,,,,7.329834361370371,,0,,
2214,09:07:00,09:07:30,3762,36,,,,,,7.899772558858317,,0,,
2214,09:10:00,09:10:30,3763,39,,,,,,8.198145460679855,,0,,
2214,09:14:00,09:14:30,3761,42,,,,,,9.119182063612381,,0,,
2214,09:16:00,09:16:30,3762,45,,,,,,9.689120261100326,,0,,
2214,09:20:00,09:20:30,3763,48,,,,,,9.987493162921865,,0,,
2214,09:23:00,09:23:30,3764,51,,,,,,11.239254530341235,,0,,
2214,09:24:00,09:24:30,3773,54,,,,,,11.690673821312107,,0,,
2214,09:25:00,09:25:30,3765,57,,,,,,12.448612115875706,,0,,
2214,09:27:00,09:27:30,3774,60,,,,,,12.664809523119649,,0,,
2214,09:30:00,09:30:30,3771,63,,,,,,13.394737600110806,,0,,
2214,09:34:00,09:34:30,3772,66,,,,,,13.774270262945002,,0,,
2214,09:38:00,09:38:30,3759,69,,,,,,14.763030057608837,,0,,
2215,09:38:00,09:38:30,3759,0,,,,,,0,,0,,
2215,09:43:00,09:43:30,3761,3,,,,,,0.8429931836869539,,0,,
2215,09:45:00,09:45:30,3762,6,,,,,,1.4129313811748991,,0,,
2215,09:48:00,09:48:30,3763,9,,,,,,1.7113042829964384,,0,,
2215,09:51:00,09:51:30,3764,12,,,,,,2.9630656504158104,,0,,
2215,09:52:00,09:52:30,3773,15,,,,,,3.414484941386682,,0,,
2215,09:53:00,09:53:30,3765,18,,,,,,4.17242323595028,,0,,
2215,09:55:00,09:55:30,3774,21,,,,,,4.388620643194224,,0,,
