stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
hanoi_stop_7603055514,Điểm đỗ xe buýt 32 Nguyễn Công Trứ,,21.013770,105.853037,,
hanoi_stop_738813781,18-20 Tuệ Tĩnh,,21.015213,105.850738,,
hanoi_stop_7824856485,Đối diện Vincom Tower - Bà Triệu,,21.011365,105.849028,,
hanoi_stop_738814496,10 Hoa Lư,,21.009515,105.847714,,
hanoi_stop_8822946815,Đối diện B13 Ký Túc Xá Bách Khoa,,21.006465,105.847234,,
hanoi_stop_738815106,Qua viện tin học Pháp ngữ 20m - Lê Thanh Nghị,,21.002872,105.847499,,
hanoi_stop_738813777,170-172 Lê Thanh Nghị,,21.001859,105.843929,,
hanoi_stop_7824915632,114-115 E8 Phương Mai,,21.004197,105.839100,,
hanoi_stop_7824915633,116-C2 Lương Định Của,,21.004476,105.835803,,
hanoi_stop_7824915634,Trạm xử lý nước thải Kim Liên,,21.005934,105.833228,,
hanoi_stop_7608990478,10 Chùa Bộc - Học viện Ngân Hàng,,21.007452,105.828796,,
hanoi_stop_7824915645,Đại học Công Đoàn - 169 Tây Sơn,,21.010376,105.825126,,
hanoi_stop_738814463,Đối diện 105 Đặng Tiến Đông,,21.012061,105.823925,,
hanoi_stop_6688359126,63 Trần Quang Diệu,,21.014959,105.824244,,
hanoi_stop_738813861,59 Hoàng Cầu,,21.017624,105.824268,,
hanoi_stop_8903312083,21 Hoàng Cầu,,21.019443,105.825181,,
hanoi_stop_738813226,426 Đê La Thành,,21.022803,105.822226,,
hanoi_stop_738815121,Nhà sách Trí Tuệ - 187G Giảng Võ,,21.025674,105.822776,,
hanoi_stop_738814565,177 Giảng Võ,,21.028126,105.825588,,
hanoi_stop_738815727,Hè trước tòa nhà PTA - Số 1 Kim Mã,,21.032242,105.829364,,
hanoi_stop_738815693,145 Nguyễn Thái Học,,21.031054,105.833767,,
hanoi_stop_738815268,85 Nguyễn Thái Học - Trường Tiểu học Lý Thường Kiệt,,21.029530,105.838949,,
hanoi_stop_738815820,7 Nguyễn Thái Học - Cửa Nam,,21.028343,105.843007,,
hanoi_stop_12717509082,167 Phùng Hưng,,21.030643,105.844946,,
hanoi_stop_738814670,115 Phùng Hưng,,21.035189,105.845857,,
hanoi_stop_8757875254,Đối diện 16 Phùng Hưng (đường trong),,21.038426,105.846504,,
hanoi_stop_738813955,26 Trần Nhật Duật,,21.038850,105.851604,,
hanoi_stop_7132790440,54 Nguyễn Hữu Huân,,21.033313,105.854407,,
hanoi_stop_738814872,36 Lý Thái Tổ - Cung thiếu nhi Hà Nội,,21.028192,105.855631,,
hanoi_stop_738815407,Đối diện Đại học Dược Hà Nội - 15 Lê Thánh Tông,,21.021503,105.857838,,
hanoi_stop_5462421044,16 Trần Hưng Đạo,,21.019505,105.857438,,
hanoi_stop_11521595975,29 Hàn Thuyên,,21.018510,105.855484,,
hanoi_stop_11521595976,52 Ngô Thì Nhậm,,21.017458,105.852862,,
hanoi_stop_11521595977,94 Ngô Thì Nhậm,,21.014198,105.853359,,
hanoi_stop_8237661968,Nhà chờ Ba La,,20.956874,105.757852,,
hanoi_stop_8237661967,Nhà chờ Văn La,,20.960041,105.761960,,
hanoi_stop_8237661966,Nhà chờ Văn Phú,,20.962830,105.764074,,
hanoi_stop_8237661965,Nhà chờ La Khê,,20.965408,105.759546,,
hanoi_stop_8237661964,Nhà chờ KĐT Park City,,20.967681,105.755459,,
hanoi_stop_8237661963,Nhà chờ Cầu La Khê,,20.970260,105.754685,,
hanoi_stop_8237661962,Nhà chờ An Hưng,,20.973232,105.757915,,
hanoi_stop_8237661961,Nhà chờ Văn Khê,,20.976580,105.762231,,
hanoi_stop_8237661960,Nhà chờ Dương Nội,,20.979449,105.765881,,
hanoi_stop_8237661959,Nhà chờ Vạn Phúc 1,,20.982277,105.769790,,
hanoi_stop_6666528584,Nhà chờ Vạn Phúc 2,,20.984819,105.774834,,
hanoi_stop_8237661958,Nhà chờ Mỗ Lao,,20.987907,105.779352,,
hanoi_stop_8237661957,Nhà chờ Trung Văn,,20.990918,105.783679,,
hanoi_stop_8237661956,Nhà chờ Lương Thế Vinh,,20.995336,105.790943,,
hanoi_stop_8237661955,Nhà chờ Khuất Duy Tiến,,20.997771,105.794523,,
hanoi_stop_8237661954,Nhà chờ Nguyễn Tuân,,21.002575,105.800807,,
hanoi_stop_8237661953,Nhà chờ Hoàng Đạo Thúy,,21.005990,105.805677,,
hanoi_stop_8237661949,Nhà chờ Núi Trúc,,21.028844,105.826306,,
hanoi_stop_11013474666,Nhà chờ Vũ Ngọc Phan,,21.013418,105.812926,,
hanoi_stop_8237661951,Nhà chờ Thành Công,,21.018132,105.815990,,
hanoi_stop_8237661950,Nhà chờ Giảng Võ,,21.024577,105.821045,,
hanoi_stop_738815662,55 Quang Trung - Đối diện hồ Thiền Quang,,21.018161,105.847419,,
hanoi_stop_8205232247,67 Trần Hưng Đạo,,21.021885,105.848946,,
hanoi_stop_5561070622,Đối diện 6C Phan Chu Trinh,,21.023599,105.856873,,
hanoi_stop_8259365871,51 Lý Thái Tổ - Ngân hàng Nhà nước Việt Nam,,21.026705,105.856277,,
hanoi_stop_738814587,23 Hàng Tre,,21.032024,105.855697,,
hanoi_stop_738813615,Số 3 Hàng Muối,,21.034354,105.854709,,
hanoi_stop_5484103149,Chùa Ái Mộ,,21.042477,105.865417,,
hanoi_stop_8259355482,52 Ngọc Lâm - Dốc Cẩm,,21.044447,105.867518,,
hanoi_stop_8259365848,170 Ngọc Lâm,,21.046195,105.870726,,
hanoi_stop_8209169361,Đối diện 447 Ngọc Lâm - Vườn hoa Gia Lâm,,21.049030,105.875875,,
hanoi_stop_8259365830,Phòng Công Chứng số 2 TPHN - 654 Nguyễn Văn Cừ,,21.052357,105.886135,,
hanoi_stop_481837167,Cây xăng số 84 Cầu Chui (BĐX Gia Thụy) - Nguyễn Văn Linh,,21.053222,105.889391,,
hanoi_stop_8739945228,Đối diện Savico MegaMall Long Biên - Nguyễn Văn Linh,,21.049885,105.891792,,
hanoi_stop_8739945229,Đối diện Công ty nước sạch - Nguyễn Văn Linh,,21.046253,105.894175,,
hanoi_stop_481836867,Đối diện UBND phường Phúc Đồng - 274 Nguyễn Văn Linh,,21.038573,105.898194,,
hanoi_stop_8739945230,Khu CN Sài Đồng - Hanel - Đối diện 523 Nguyễn Văn Linh,,21.031790,105.909710,,
hanoi_stop_481836709,Đường vào đường Thạch Bàn - đối diện 693 Nguyễn Văn Linh,,21.029660,105.914629,,
