route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
hanoi_23,service_daily,trip_hanoi_23_0_1,Nguyễn Công Trứ - Nguyễn Công Trứ (Chiều đi),0,shape_hanoi_23_out
hanoi_BRT01,service_daily,trip_hanoi_BRT01_0_2,Bến xe Yên Nghĩa - Kim Mã,0,shape_hanoi_BRT01_out
hanoi_BRT01,service_daily,trip_hanoi_BRT01_0_3,Kim Mã - Bến xe Yên Nghĩa,0,shape_hanoi_BRT01_out
hanoi_11,service_daily,trip_hanoi_11_0_4,Công viên Thống Nhất - Học viện Nông nghiệp Việt Nam,0,shape_hanoi_11_out
hanoi_11,service_daily,trip_hanoi_11_0_5,Học viện Nông nghiệp Việt Nam - Công viên Thống Nhất,0,shape_hanoi_11_out
hanoi_04,service_daily,trip_hanoi_04_0_6,Long Biên - Bệnh viện Nội tiết Trung ương cơ sở 2,0,shape_hanoi_04_out
hanoi_04,service_daily,trip_hanoi_04_0_7,Bệnh viện Nội tiết Trung ương cơ sở 2 - Long Biên,0,shape_hanoi_04_out
hanoi_09A,service_daily,trip_hanoi_09A_0_8,Trần Khánh Dư - Cầu Giấy - Đại học Mỏ,0,shape_hanoi_09A_out
hanoi_09A,service_daily,trip_hanoi_09A_0_9,Đại học Mỏ - Cầu Giấy - Trần Khánh Dư,0,shape_hanoi_09A_out
hanoi_99,service_daily,trip_hanoi_99_0_10,Kim Mã - Ngũ Hiệp,0,shape_hanoi_99_out
hanoi_99,service_daily,trip_hanoi_99_0_11,Ngũ Hiệp - Kim Mã,0,shape_hanoi_99_out
hanoi_05,service_daily,trip_hanoi_05_0_12,Mai Động - Đại học Tài nguyên và Môi trường Hà Nội,0,shape_hanoi_05_out
hanoi_05,service_daily,trip_hanoi_05_0_13,Đại học Tài nguyên và Môi trường Hà Nội - Mai Động,0,shape_hanoi_05_out
hanoi_26,service_daily,trip_hanoi_26_0_14,Mai Động - Sân vận động Quốc gia,0,shape_hanoi_26_out
hanoi_26,service_daily,trip_hanoi_26_0_15,Sân vận động Quốc gia - Mai Động,0,shape_hanoi_26_out
hanoi_42,service_daily,trip_hanoi_42_0_16,Bến xe Giáp Bát - Trung Mầu (Gia Lâm),0,shape_hanoi_42_out
hanoi_42,service_daily,trip_hanoi_42_0_17,Trung Mầu (Gia Lâm) - Bến xe Giáp Bát,0,shape_hanoi_42_out
hanoi_159,service_daily,trip_hanoi_159_0_18,Bệnh viện Bệnh nhiệt đới Trung ương cơ sở 2 - Khu đô thị Times City,0,shape_hanoi_159_out
hanoi_159,service_daily,trip_hanoi_159_0_19,Khu đô thị Times City - Bệnh viện Bệnh nhiệt đới Trung ương cơ sở 2,0,shape_hanoi_159_out
hanoi_157,service_daily,trip_hanoi_157_0_20,Bến xe Mỹ Đình - Bến xe Sơn Tây,0,shape_hanoi_157_out
hanoi_157,service_daily,trip_hanoi_157_0_21,Bến xe Sơn Tây - Bến xe Mỹ Đình,0,shape_hanoi_157_out
hanoi_16,service_daily,trip_hanoi_16_0_22,Bến xe Mỹ Đình - Bến xe Nước Ngầm,0,shape_hanoi_16_out
hanoi_16,service_daily,trip_hanoi_16_0_23,Bến xe Nước Ngầm - Bến xe Mỹ Đình,0,shape_hanoi_16_out
hanoi_60B,service_daily,trip_hanoi_60B_0_24,Bến xe Nước Ngầm - Đại học Tài chính - Ngân hàng Hà Nội (CS1),0,shape_hanoi_60B_out
hanoi_31,service_daily,trip_hanoi_31_0_25,Bách Khoa - Chèm (Đại học Mỏ),0,shape_hanoi_31_out
hanoi_31,service_daily,trip_hanoi_31_0_26,Chèm (Đại học Mỏ) - Bách Khoa,0,shape_hanoi_31_out
