shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_hanoi_9684066,21.0281565,105.8272207,0,0
shape_hanoi_9684066,21.0201444,105.8253269,1,120
shape_hanoi_9684066,21.0145374,105.8194321,2,240
shape_hanoi_9684066,21.0064568,105.8160202,3,360
shape_hanoi_9684066,20.9976983,105.81223,4,480
shape_hanoi_9684066,20.9923086,105.8044088,5,600
shape_hanoi_9684066,20.9842949,105.7930346,6,720
shape_hanoi_9684066,20.9777421,105.784762,7,840
shape_hanoi_9684066,20.9702707,105.7749863,8,960
shape_hanoi_9684066,20.9638428,105.7667964,9,1080
shape_hanoi_9684066,20.9556553,105.756183,10,1200
shape_hanoi_9684066,20.949796,105.7484068,11,1320
shape_hanoi_9684072,20.9497634,105.7484438,0,0
shape_hanoi_9684072,20.9556221,105.7562116,1,120
shape_hanoi_9684072,20.9638218,105.7668214,2,240
shape_hanoi_9684072,20.9702497,105.7750059,3,360
shape_hanoi_9684072,20.9777105,105.7847894,4,480
shape_hanoi_9684072,20.9842637,105.7930607,5,600
shape_hanoi_9684072,20.9922879,105.8044331,6,720
shape_hanoi_9684072,20.9976589,105.812249,7,840
shape_hanoi_9684072,21.0064719,105.8160567,8,960
shape_hanoi_9684072,21.0145187,105.8194546,9,1080
shape_hanoi_9684072,21.020136,105.8253538,10,1200
shape_hanoi_9684072,21.0281565,105.8272207,11,1320
shape_hanoi_12989508,21.0525714,105.7352194,0,0
shape_hanoi_12989508,21.0479495,105.7447965,1,120
shape_hanoi_12989508,21.0438985,105.7552604,2,240
shape_hanoi_12989508,21.0411927,105.762681,3,360
shape_hanoi_12989508,21.0380271,105.7729857,4,480
shape_hanoi_12989508,21.0366441,105.7826928,5,600
shape_hanoi_12989508,21.0349016,105.7943621,6,720
shape_hanoi_12989508,21.0292035,105.8033539,7,840
shape_hanoi_12989509,21.0292367,105.8033744,0,0
shape_hanoi_12989509,21.0349419,105.7943815,1,120
shape_hanoi_12989509,21.0366812,105.7826932,2,240
shape_hanoi_12989509,21.0380658,105.7729948,3,360
shape_hanoi_12989509,21.0412487,105.7627014,4,480
shape_hanoi_12989509,21.0439453,105.7552804,5,600
shape_hanoi_12989509,21.0480032,105.7448168,6,720
shape_hanoi_12989509,21.0526112,105.735244,7,840
