stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
ho chi minh city_stop_4616360490,Tôn Thất Tùng,,10.767676,106.690867,,
ho chi minh city_stop_6315672385,Nguyễn Thị Nghĩa,,10.768802,106.693696,,
ho chi minh city_stop_6956317386,Trường Trung học Phổ thông Ernst Thälmann,,10.769573,106.695697,,
ho chi minh city_stop_9402954182,Trạm trung chuyển Hàm Nghi,,10.770994,106.700518,,
ho chi minh city_stop_7739047808,Đền thờ Ấn Giáo,,10.773505,106.701392,,
ho chi minh city_stop_6128564185,Lê Thánh Tôn,,10.775073,106.700717,,
ho chi minh city_stop_3168095079,Lý Tự Trọng,,10.777076,106.699669,,
ho chi minh city_stop_3168095080,Lê Duẩn,,10.778291,106.698360,,
ho chi minh city_stop_3168095081,Nguyễn Thị Minh Khai,,10.779809,106.696717,,
ho chi minh city_stop_3168095082,Đại học Kiến trúc,,10.781645,106.694714,,
ho chi minh city_stop_3168095083,Điện Biên Phủ,,10.783448,106.692729,,
ho chi minh city_stop_6315679795,Võ Thị Sáu,,10.784854,106.691202,,
ho chi minh city_stop_3162508872,Nhà Thiếu nhi Thành phố,,10.785581,106.689671,,
ho chi minh city_stop_3167018763,Viện Pasteur,,10.785893,106.688326,,
ho chi minh city_stop_9403108739,Trần Quốc Toản,,10.786948,106.687136,,
ho chi minh city_stop_3167018764,Lý Chính Thắng,,10.789229,106.684652,,
ho chi minh city_stop_3167018765,Chùa Vĩnh Nghiêm,,10.790687,106.683081,,
ho chi minh city_stop_6128564186,Ngã tư Trần Huy Liệu,,10.793561,106.679193,,
ho chi minh city_stop_3167021689,Trung tâm Văn hóa Quận Phú Nhuận,,10.795455,106.675999,,
ho chi minh city_stop_3167021690,Cổng Xe lửa,,10.796870,106.673619,,
ho chi minh city_stop_3167021691,Bệnh viện Quận Phú Nhuận,,10.798622,106.670592,,
ho chi minh city_stop_9404173938,Cây xăng Quân khu 7,,10.799665,106.668882,,
ho chi minh city_stop_1774952214,Sân vận động Quân khu 7,,10.800857,106.666760,,
ho chi minh city_stop_12871231499,Sacombank Head Office,,10.787538,106.686504,,
ho chi minh city_stop_9470667890,Nam Kỳ Khởi Nghĩa,,10.770861,106.701506,,
ho chi minh city_stop_9470667891,Chợ Cũ,,10.770836,106.701952,,
ho chi minh city_stop_13619847102,Ngô Văn Năm,,10.779838,106.707644,,
ho chi minh city_stop_3016612589,Bảo tàng Tôn Đức Thắng,,10.777667,106.707025,,
ho chi minh city_stop_3124681592,Bến Bạch Đằng,,10.773370,106.706388,,
ho chi minh city_stop_7520799030,Cục Hải quan Thành phố,,10.770876,106.705518,,
ho chi minh city_stop_9468454790,Chợ Cũ,,10.770991,106.703083,,
