osmid,y,x,street_count,highway,railway,ref,junction,geometry
369193629,13.8926649,109.0968054,4,,,,,POINT (109.0968054 13.8926649)
369193643,13.8930814,109.0587634,4,,,,,POINT (109.0587634 13.8930814)
369193650,13.8969381,109.0445615,3,,,,,POINT (109.0445615 13.8969381)
369193653,13.8997088,109.0367246,3,,,,,POINT (109.0367246 13.8997088)
369193658,13.9089963,109.0279587,3,,,,,POINT (109.0279587 13.9089963)
369193670,13.903699,109.0075756,3,,,,,POINT (109.0075756 13.903699)
377705865,13.7733481,109.2278602,4,,,,,POINT (109.2278602 13.7733481)
377705870,13.76886,109.2297985,3,,,,,POINT (109.2297985 13.76886)
377705877,13.7701704,109.2350623,3,,,,,POINT (109.2350623 13.7701704)
377706768,13.7611965,109.2205007,3,,,,,POINT (109.2205007 13.7611965)
377706771,13.761064,109.2207881,3,,,,,POINT (109.2207881 13.761064)
377711197,13.7728205,109.2441393,3,,,,,POINT (109.2441393 13.7728205)
377711933,13.7750214,109.2334725,3,,,,,POINT (109.2334725 13.7750214)
377711940,13.7731002,109.2330504,3,,,,,POINT (109.2330504 13.7731002)
377712051,13.7730715,109.2339454,4,,,,,POINT (109.2339454 13.7730715)
377719085,13.7717551,109.2436741,3,,,,,POINT (109.2436741 13.7717551)
377719093,13.7716796,109.2450415,3,,,,,POINT (109.2450415 13.7716796)
377719119,13.7713723,109.2493331,3,,,,,POINT (109.2493331 13.7713723)
377719131,13.7726652,109.2451823,3,,,,,POINT (109.2451823 13.7726652)
377719162,13.7780694,109.2273378,4,,,,,POINT (109.2273378 13.7780694)
377721325,13.7654918,109.2255287,3,,,,,POINT (109.2255287 13.7654918)
377823618,13.750223,109.2074546,3,,,,,POINT (109.2074546 13.750223)
377824939,13.7202608,109.2118113,3,,,,,POINT (109.2118113 13.7202608)
377824941,13.7205546,109.2116807,3,,,,,POINT (109.2116807 13.7205546)
377824955,13.7258429,109.2128615,3,,,,,POINT (109.2128615 13.7258429)
377825951,13.7175472,109.2164365,3,,,,,POINT (109.2164365 13.7175472)
377825955,13.7175052,109.2163646,3,,,,,POINT (109.2163646 13.7175052)
377825958,13.7175495,109.2144044,3,,,,,POINT (109.2144044 13.7175495)
377825963,13.717869,109.2144333,3,,,,,POINT (109.2144333 13.717869)
377826733,13.7245349,109.2136018,3,,,,,POINT (109.2136018 13.7245349)
377839318,13.7336399,109.2103821,3,,,,,POINT (109.2103821 13.7336399)
667758548,13.7124312,109.2119022,3,,,,,POINT (109.2119022 13.7124312)
667758606,13.7343919,109.2101529,3,,,,,POINT (109.2101529 13.7343919)
667758660,13.7521131,109.2157197,4,,,,,POINT (109.2157197 13.7521131)
667758664,13.7604395,109.220194,4,,,,,POINT (109.220194 13.7604395)
667758679,13.766425,109.2259323,3,,,,,POINT (109.2259323 13.766425)
667758680,13.7653134,109.2267695,3,,,,,POINT (109.2267695 13.7653134)
667758696,13.7732414,109.2300399,4,,,,,POINT (109.2300399 13.7732414)
667758706,13.7751743,109.2305637,4,,,,,POINT (109.2305637 13.7751743)
667758712,13.7768147,109.2260704,3,,,,,POINT (109.2260704 13.7768147)
667758721,13.7731559,109.2319256,4,,,,,POINT (109.2319256 13.7731559)
667758754,13.7745432,109.2321348,4,,,,,POINT (109.2321348 13.7745432)
667758757,13.7753583,109.2322541,4,,,,,POINT (109.2322541 13.7753583)
667758781,13.7734435,109.2397352,3,,,,,POINT (109.2397352 13.7734435)
667758782,13.7742409,109.2378069,3,,,,,POINT (109.2378069 13.7742409)
667758800,13.7805758,109.2227519,3,,,,,POINT (109.2227519 13.7805758)
667758805,13.7829896,109.219538,3,,,,,POINT (109.219538 13.7829896)
667953361,13.8909351,108.9786055,3,,,,,POINT (108.9786055 13.8909351)
667953363,13.8884972,108.982065,3,,,,,POINT (108.982065 13.8884972)
667953367,13.7955414,109.1476803,3,,,,,POINT (109.1476803 13.7955414)
667953393,13.8858122,108.9862266,3,,,,,POINT (108.9862266 13.8858122)
667953422,13.8055865,109.147448,3,,,,,POINT (109.147448 13.8055865)
667953423,13.8049087,109.147532,3,,,,,POINT (109.147532 13.8049087)
667953471,13.8555355,109.1102116,3,,,,,POINT (109.1102116 13.8555355)
667953473,13.859422,109.1120558,3,,,,,POINT (109.1120558 13.859422)
667953517,13.8617751,109.1340701,3,,,,,POINT (109.1340701 13.8617751)
667953539,13.8436767,109.1498504,3,,,,,POINT (109.1498504 13.8436767)
667953542,13.8585969,109.1392931,3,,,,,POINT (109.1392931 13.8585969)
667953585,13.7899729,109.1935931,3,,,,,POINT (109.1935931 13.7899729)
667953586,13.7897425,109.1940855,3,,,,,POINT (109.1940855 13.7897425)
667953603,13.8153048,109.1799421,3,,,,,POINT (109.1799421 13.8153048)
667953604,13.8136582,109.1801964,3,,,,,POINT (109.1801964 13.8136582)
667953626,13.8213732,109.1729901,3,,,,,POINT (109.1729901 13.8213732)
668583943,13.8065766,109.1471665,3,,,,,POINT (109.1471665 13.8065766)
668583972,13.8421692,109.138751,3,,,,,POINT (109.138751 13.8421692)
668583983,13.8538095,109.13447,3,,,,,POINT (109.13447 13.8538095)
668583992,13.8731174,109.1243066,3,,,,,POINT (109.1243066 13.8731174)
668584005,13.8897177,109.1177073,3,,,,,POINT (109.1177073 13.8897177)
668584008,13.8884513,109.1191587,4,,,,,POINT (109.1191587 13.8884513)
668584023,13.7693765,109.1930736,3,,,,,POINT (109.1930736 13.7693765)
668584047,13.7939985,109.1621309,3,,,,,POINT (109.1621309 13.7939985)
668584089,13.8939255,109.1127548,3,,,,,POINT (109.1127548 13.8939255)
668584093,13.8932692,109.1134431,3,,,,,POINT (109.1134431 13.8932692)
668584106,13.9048173,109.1034562,3,,,,,POINT (109.1034562 13.9048173)
668584114,13.8982792,109.1090611,3,,,,,POINT (109.1090611 13.8982792)
668584140,13.8913134,109.1158474,4,,,,,POINT (109.1158474 13.8913134)
1503692364,13.7747534,109.2315481,4,,,,,POINT (109.2315481 13.7747534)
1503692369,13.7731888,109.2311527,4,,,,,POINT (109.2311527 13.7731888)
1503692370,13.7761693,109.2304417,3,,,,,POINT (109.2304417 13.7761693)
1503692371,13.7759304,109.2309458,4,,,,,POINT (109.2309458 13.7759304)
1503692373,13.7696405,109.2312407,3,,,,,POINT (109.2312407 13.7696405)
1503692376,13.7721579,109.2302547,4,,,,,POINT (109.2302547 13.7721579)
1503692379,13.775575,109.2317479,3,,,,,POINT (109.2317479 13.775575)
1504010400,13.7614124,109.2184287,1,,,,,POINT (109.2184287 13.7614124)
1527879750,13.7721081,109.2398636,3,,,,,POINT (109.2398636 13.7721081)
1527881703,13.7723117,109.2436871,3,,,,,POINT (109.2436871 13.7723117)
1527891237,13.7612851,109.2206263,3,,,,,POINT (109.2206263 13.7612851)
1527899006,13.7722256,109.2404084,3,,,,,POINT (109.2404084 13.7722256)
1527899012,13.772254,109.241932,4,,,,,POINT (109.241932 13.772254)
1527899013,13.7728616,109.2438332,3,,,,,POINT (109.2438332 13.7728616)
1527899014,13.7722375,109.2410732,4,,,,,POINT (109.2410732 13.7722375)
1527899017,13.7732219,109.2411788,3,,,,,POINT (109.2411788 13.7732219)
1527899018,13.7731159,109.2420131,3,,,,,POINT (109.2420131 13.7731159)
1527899025,13.7732739,109.2408406,3,,,,,POINT (109.2408406 13.7732739)
1527899028,13.7722352,109.2406932,3,,,,,POINT (109.2406932 13.7722352)
1527899030,13.7721172,109.2451047,3,,,,,POINT (109.2451047 13.7721172)
1527899032,13.7733204,109.2405687,3,,,,,POINT (109.2405687 13.7733204)
1527921311,13.7730683,109.2271352,4,,,,,POINT (109.2271352 13.7730683)
1527921312,13.7729377,109.2268327,3,,,,,POINT (109.2268327 13.7729377)
1527921315,13.7729437,109.2362521,4,,,,,POINT (109.2362521 13.7729437)
1527921316,13.7728009,109.2397332,3,,,,,POINT (109.2397332 13.7728009)
1527921318,13.7717872,109.2244849,5,,,,,POINT (109.2244849 13.7717872)
1527921319,13.7740705,109.2382242,3,,,,,POINT (109.2382242 13.7740705)
1527921322,13.7730045,109.2349442,4,,,,,POINT (109.2349442 13.7730045)
1527921326,13.7723408,109.225546,3,,,,,POINT (109.225546 13.7723408)
1527921333,13.7729071,109.2372444,4,,,,,POINT (109.2372444 13.7729071)
1527921335,13.7720748,109.2397242,3,,,,,POINT (109.2397242 13.7720748)
1527921336,13.7717091,109.2419495,3,,,,,POINT (109.2419495 13.7717091)
1527921348,13.7714559,109.237508,4,,,,,POINT (109.237508 13.7714559)
1527921350,13.7753755,109.2371917,4,,,,,POINT (109.2371917 13.7753755)
1527921351,13.774272,109.2397951,4,,,,,POINT (109.2397951 13.774272)
1527921353,13.7717307,109.2427333,3,,,,,POINT (109.2427333 13.7717307)
1527921356,13.7734792,109.2364655,3,,,,,POINT (109.2364655 13.7734792)
1527921363,13.772898,109.2377359,3,,,,,POINT (109.2377359 13.772898)
1527921365,13.7750795,109.2401358,1,,,,,POINT (109.2401358 13.7750795)
1527921366,13.7760148,109.237377,1,,,,,POINT (109.237377 13.7760148)
1527921368,13.772546,109.2259589,3,,,,,POINT (109.2259589 13.772546)
1527921371,13.7722802,109.2427202,3,,,,,POINT (109.2427202 13.7722802)
1527921372,13.7716425,109.2410797,3,,,,,POINT (109.2410797 13.7716425)
1527921375,13.7727301,109.2263814,5,,,,,POINT (109.2263814 13.7727301)
1527921383,13.7718978,109.2357535,3,,,,,POINT (109.2357535 13.7718978)
1527921387,13.7710173,109.2359798,3,,,,,POINT (109.2359798 13.7710173)
1527921388,13.7720296,109.2249378,3,,,,,POINT (109.2249378 13.7720296)
1527934273,13.7724694,109.2349321,3,,,,,POINT (109.2349321 13.7724694)
1527934274,13.7738014,109.2349884,4,,,,,POINT (109.2349884 13.7738014)
1527934277,13.7725234,109.2338966,4,,,,,POINT (109.2338966 13.7725234)
1527934282,13.7704365,109.2342842,3,,,,,POINT (109.2342842 13.7704365)
1527934284,13.7747589,109.2350127,3,,,,,POINT (109.2350127 13.7747589)
1527934287,13.7740253,109.2339928,4,,,,,POINT (109.2339928 13.7740253)
1527934288,13.77192,109.234913,4,,,,,POINT (109.234913 13.77192)
1527934293,13.7719865,109.233876,4,,,,,POINT (109.233876 13.7719865)
1527934302,13.7699128,109.2326875,3,,,,,POINT (109.2326875 13.7699128)
1527934310,13.7706597,109.2348918,4,,,,,POINT (109.2348918 13.7706597)
1527934311,13.7749287,109.2340117,3,,,,,POINT (109.2340117 13.7749287)
1527943722,13.7691597,109.2329753,3,,,,,POINT (109.2329753 13.7691597)
1527943724,13.7715291,109.2286315,4,,,,,POINT (109.2286315 13.7715291)
1527943726,13.7721415,109.2309273,3,,,,,POINT (109.2309273 13.7721415)
1527943732,13.7720886,109.2317665,4,,,,,POINT (109.2317665 13.7720886)
1527943733,13.7710434,109.2316179,3,,,,,POINT (109.2316179 13.7710434)
1527943738,13.7726131,109.2318368,4,,,,,POINT (109.2318368 13.7726131)
1527943742,13.7704335,109.229096,4,,,,,POINT (109.229096 13.7704335)
1527943745,13.7726651,109.2310382,3,,,,,POINT (109.2310382 13.7726651)
1527943747,13.7698153,109.2277806,4,,,,,POINT (109.2277806 13.7698153)
1527943749,13.7670137,109.2291038,3,,,,,POINT (109.2291038 13.7670137)
1527943750,13.768575,109.2317822,3,,,,,POINT (109.2317822 13.768575)
1527943752,13.7742164,109.2332137,4,,,,,POINT (109.2332137 13.7742164)
1532298417,13.7734418,109.2224238,4,,,,,POINT (109.2224238 13.7734418)
1532298418,13.7774506,109.2283846,4,,,,,POINT (109.2283846 13.7774506)
