osmid,y,x,street_count,highway,ref,junction,railway,geometry
826188407,15.2464147,107.7351386,3,,,,,POINT (107.7351386 15.2464147)
1916097361,15.1357324,108.1265675,3,,,,,POINT (108.1265675 15.1357324)
1916097883,15.1474787,108.1222621,3,,,,,POINT (108.1222621 15.1474787)
1916097978,15.1488043,108.1225356,4,,,,,POINT (108.1225356 15.1488043)
1916106049,15.2322196,108.0958013,3,,,,,POINT (108.0958013 15.2322196)
1916110627,15.2550174,108.1510202,3,,,,,POINT (108.1510202 15.2550174)
1916110808,15.2554758,108.1513665,3,,,,,POINT (108.1513665 15.2554758)
1917485919,15.0597249,108.0903832,3,,,,,POINT (108.0903832 15.0597249)
1917486381,15.1457356,108.119677,3,,,,,POINT (108.119677 15.1457356)
1917486396,15.14816,108.119855,3,,,,,POINT (108.119855 15.14816)
1917486403,15.149049,108.1128668,3,,,,,POINT (108.1128668 15.149049)
1917486415,15.1506746,108.11089,3,,,,,POINT (108.11089 15.1506746)
1917486419,15.1511913,108.1112715,3,,,,,POINT (108.1112715 15.1511913)
1917486429,15.1545914,108.1101947,3,,,,,POINT (108.1101947 15.1545914)
1917487842,15.2484385,108.0935424,3,,,,,POINT (108.0935424 15.2484385)
4358065580,15.237698,108.0749484,1,,,,,POINT (108.0749484 15.237698)
4358065805,15.2392431,108.076379,3,,,,,POINT (108.076379 15.2392431)
4358065874,15.2395146,108.0773805,3,,,,,POINT (108.0773805 15.2395146)
4358066364,15.2409083,108.0424406,3,,,,,POINT (108.0424406 15.2409083)
4358066654,15.2417157,108.0488186,3,,,,,POINT (108.0488186 15.2417157)
4358066909,15.2423518,108.0501843,3,,,,,POINT (108.0501843 15.2423518)
4358066958,15.2424486,108.051715,3,,,,,POINT (108.051715 15.2424486)
4358067091,15.2426271,108.0353472,3,,,,,POINT (108.0353472 15.2426271)
4358067094,15.2426903,108.0508974,3,,,,,POINT (108.0508974 15.2426903)
4358067105,15.2428032,108.084833,3,,,,,POINT (108.084833 15.2428032)
4358067371,15.2430965,108.0545444,3,,,,,POINT (108.0545444 15.2430965)
4358067591,15.2440305,108.0518245,3,,,,,POINT (108.0518245 15.2440305)
4358068165,15.2451947,108.1047206,3,,,,,POINT (108.1047206 15.2451947)
4358068343,15.2458554,108.095968,3,,,,,POINT (108.095968 15.2458554)
4358068967,15.2475042,108.0978955,4,,,,,POINT (108.0978955 15.2475042)
4358069783,15.2504079,108.0969982,3,,,,,POINT (108.0969982 15.2504079)
4358070903,15.2519058,108.121709,3,,,,,POINT (108.121709 15.2519058)
4358072478,15.2547803,108.0981262,3,,,,,POINT (108.0981262 15.2547803)
4358074426,15.2615364,108.0969162,3,,,,,POINT (108.0969162 15.2615364)
4358074604,15.2619961,108.0636749,3,,,,,POINT (108.0636749 15.2619961)
4358075037,15.266076,108.0624308,3,,,,,POINT (108.0624308 15.266076)
4358075435,15.2630747,108.0627105,3,,,,,POINT (108.0627105 15.2630747)
4358075468,15.2631725,108.0662097,3,,,,,POINT (108.0662097 15.2631725)
4358075595,15.2632257,108.0948694,3,,,,,POINT (108.0948694 15.2632257)
4358076038,15.2653046,108.0623302,3,,,,,POINT (108.0623302 15.2653046)
4358078820,15.2740117,108.0775214,4,,,,,POINT (108.0775214 15.2740117)
4358079955,15.2738183,108.0791416,3,,,,,POINT (108.0791416 15.2738183)
4358081517,15.2751831,108.0742156,3,,,,,POINT (108.0742156 15.2751831)
4360682438,14.9954264,108.1320905,1,,,,,POINT (108.1320905 14.9954264)
4360683450,15.0045737,108.1272774,3,,,,,POINT (108.1272774 15.0045737)
4360684234,15.015048,108.1133444,3,,,,,POINT (108.1133444 15.015048)
4360687551,15.0220747,108.0631017,1,,,,,POINT (108.0631017 15.0220747)
4360688800,15.0284226,108.0183074,1,,,,,POINT (108.0183074 15.0284226)
4360689190,15.0300416,108.0616539,3,,,,,POINT (108.0616539 15.0300416)
4360689553,15.0313187,108.0621099,3,,,,,POINT (108.0621099 15.0313187)
4360690019,15.0329132,108.0472639,3,,,,,POINT (108.0472639 15.0329132)
4360690083,15.0331008,108.0348561,1,,,,,POINT (108.0348561 15.0331008)
4360691187,15.0347964,108.0687229,3,,,,,POINT (108.0687229 15.0347964)
4360692294,15.0372067,108.0528884,3,,,,,POINT (108.0528884 15.0372067)
4360692438,15.0376587,108.0393527,3,,,,,POINT (108.0393527 15.0376587)
4360693545,15.0428263,108.0736098,3,,,,,POINT (108.0736098 15.0428263)
4360700628,15.0809266,108.0964473,3,,,,,POINT (108.0964473 15.0809266)
4369571015,15.1014918,108.0305249,1,,,,,POINT (108.0305249 15.1014918)
4369577223,15.1214704,108.0498449,1,,,,,POINT (108.0498449 15.1214704)
4372010575,15.0909199,108.0791946,1,,,,,POINT (108.0791946 15.0909199)
4372010840,15.0933773,108.1205104,3,,,,,POINT (108.1205104 15.0933773)
4372010938,15.0941256,108.118154,3,,,,,POINT (108.118154 15.0941256)
4372011048,15.0952513,108.1225329,3,,,,,POINT (108.1225329 15.0952513)
4372011528,15.120768,108.0725734,3,,,,,POINT (108.0725734 15.120768)
4372011637,15.0999949,108.1231266,3,,,,,POINT (108.1231266 15.0999949)
4372011771,15.1010674,108.0771809,3,,,,,POINT (108.0771809 15.1010674)
4372011779,15.1011553,108.0771663,3,,,,,POINT (108.0771663 15.1011553)
4372014458,15.1200991,108.0715111,3,,,,,POINT (108.0715111 15.1200991)
4372015042,15.1237001,108.0920864,1,,,,,POINT (108.0920864 15.1237001)
4372017246,15.1333399,108.1044461,3,,,,,POINT (108.1044461 15.1333399)
4372017410,15.1345117,108.1260467,3,,,,,POINT (108.1260467 15.1345117)
4372018135,15.1462692,108.1188197,3,,,,,POINT (108.1188197 15.1462692)
4372018709,15.1441173,108.1184055,3,,,,,POINT (108.1184055 15.1441173)
4372019030,15.1459973,108.1191948,4,,,,,POINT (108.1191948 15.1459973)
4372019535,15.14749,108.1195833,3,,,,,POINT (108.1195833 15.14749)
4372019558,15.1476116,108.11991,1,,,,,POINT (108.11991 15.1476116)
4372019895,15.1491622,108.1115121,1,,,,,POINT (108.1115121 15.1491622)
4372020185,15.151808,108.0968374,3,,,,,POINT (108.0968374 15.151808)
4372020288,15.1505239,108.0907233,1,,,,,POINT (108.0907233 15.1505239)
4372020820,15.1523026,108.1223673,1,,,,,POINT (108.1223673 15.1523026)
4372020845,15.1524378,108.1233054,3,,,,,POINT (108.1233054 15.1524378)
4372021386,15.1536413,108.1073748,3,,,,,POINT (108.1073748 15.1536413)
4372021765,15.1544849,108.1080541,3,,,,,POINT (108.1080541 15.1544849)
4372021801,15.1546944,108.1061596,3,,,,,POINT (108.1061596 15.1546944)
4372022055,15.1557729,108.1093552,3,,,,,POINT (108.1093552 15.1557729)
4372022497,15.1569011,108.1000921,1,,,,,POINT (108.1000921 15.1569011)
4372024676,15.1641269,108.1039376,1,,,,,POINT (108.1039376 15.1641269)
4372025378,15.1677927,108.1199737,3,,,,,POINT (108.1199737 15.1677927)
4372026292,15.1716649,108.1209818,3,,,,,POINT (108.1209818 15.1716649)
4372026349,15.171798,108.1211161,1,,,,,POINT (108.1211161 15.171798)
4372032025,15.2036506,108.1042544,3,,,,,POINT (108.1042544 15.2036506)
4372035085,15.2480389,107.841516,1,,,,,POINT (107.841516 15.2480389)
4372036081,15.2609444,107.9091032,1,,,,,POINT (107.9091032 15.2609444)
4372036888,15.2665056,107.8711258,3,,,,,POINT (107.8711258 15.2665056)
4372037167,15.268545,107.875077,3,,,,,POINT (107.875077 15.268545)
4372037207,15.2688651,107.8680988,3,,,,,POINT (107.8680988 15.2688651)
4372037267,15.2694658,107.8372328,3,,,,,POINT (107.8372328 15.2694658)
4372037280,15.2694892,107.864172,3,,,,,POINT (107.864172 15.2694892)
4372037642,15.2723713,107.8530539,1,,,,,POINT (107.8530539 15.2723713)
4372037908,15.2734632,107.8523982,3,,,,,POINT (107.8523982 15.2734632)
4372037927,15.273564,107.8523028,3,,,,,POINT (107.8523028 15.273564)
4372037946,15.2735923,107.8506933,3,,,,,POINT (107.8506933 15.2735923)
4372038101,15.2738685,107.8702678,1,,,,,POINT (107.8702678 15.2738685)
4372038156,15.2741166,107.8521675,3,,,,,POINT (107.8521675 15.2741166)
4372038734,15.2754789,107.8512515,1,,,,,POINT (107.8512515 15.2754789)
4372038956,15.2768596,107.8932847,3,,,,,POINT (107.8932847 15.2768596)
4372039496,15.2783216,107.8956062,3,,,,,POINT (107.8956062 15.2783216)
4372039958,15.2805765,107.8963277,3,,,,,POINT (107.8963277 15.2805765)
4372039975,15.2810706,107.8966241,3,,,,,POINT (107.8966241 15.2810706)
4372040117,15.281832,107.8972162,3,,,,,POINT (107.8972162 15.281832)
4372040128,15.2821018,107.8972082,3,,,,,POINT (107.8972082 15.2821018)
4372040152,15.2823015,107.8955934,3,,,,,POINT (107.8955934 15.2823015)
4372040484,15.2879895,107.887246,3,,,,,POINT (107.887246 15.2879895)
4372040581,15.2860297,107.8930097,3,,,,,POINT (107.8930097 15.2860297)
4372040635,15.2863014,107.8910751,3,,,,,POINT (107.8910751 15.2863014)
4372040672,15.2864309,107.8916297,3,,,,,POINT (107.8916297 15.2864309)
4372040782,15.2868523,107.8890775,3,,,,,POINT (107.8890775 15.2868523)
4372040818,15.2870976,107.8856805,1,,,,,POINT (107.8856805 15.2870976)
4372041017,15.2881886,107.8864829,4,,,,,POINT (107.8864829 15.2881886)
4887211466,15.0680207,108.093769,3,,,,,POINT (108.093769 15.0680207)
4887211471,15.0669899,108.0930446,1,,,,,POINT (108.0930446 15.0669899)
7627591611,15.1476675,108.1214185,1,,,,,POINT (108.1214185 15.1476675)
7641868821,15.0417246,108.0717962,3,,,,,POINT (108.0717962 15.0417246)
7644903674,15.0310178,108.0607365,1,,,,,POINT (108.0607365 15.0310178)
7644938988,15.0319156,108.0605241,1,,,,,POINT (108.0605241 15.0319156)
7644938990,15.0318894,108.0607683,3,,,,,POINT (108.0607683 15.0318894)
7647569042,15.0242491,108.1018796,1,,,,,POINT (108.1018796 15.0242491)
7730170201,15.2789064,107.8941643,4,,,,,POINT (107.8941643 15.2789064)
7730170204,15.277978,107.8932577,3,,,,,POINT (107.8932577 15.277978)
7730180067,15.2791052,107.8946414,1,,,,,POINT (107.8946414 15.2791052)
7730180074,15.283659,107.8916631,1,,,,,POINT (107.8916631 15.283659)
7730180087,15.2868158,107.8924853,1,,,,,POINT (107.8924853 15.2868158)
