,Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Score
0,FERRARI,SF90 STRADALE,V8,3990,963,340,2.5,"$1,100,000",plug in hyrbrid,2,800,
1,ROLLS ROYCE,PHANTOM,V12,6749,563,250,5.3,"$460,000",Petrol,5,900,
2,Ford,KA+,1.2L Petrol,1200,70,165,10.5,"$12,000-$15,000",Petrol,5,100,
3,MERCEDES,GT 63 S,V8,3982,630,250,3.2,"$161,000",Petrol,4,900,
4,AUDI,AUDI R8 Gt,V10,5204,602,320,3.6,"$253,290",Petrol,2,560,
5,BMW,Mclaren 720s,V8,3994,710,341,2.9,"$499,000",Petrol,2,770,
6,ASTON MARTIN,VANTAGE F1,V8,3982,656,314,3.6,"$193,440",Petrol,2,685,
7,BENTLEY,Continental GT Azure,V8,3996,550,318,4,"$311,000",Petrol,4,900,
8,LAMBORGHINI,VENENO ROADSTER,V12,6498,750,356,2.9,"$4,500,000",Petrol,2,690,
9,FERRARI,F8 TRIBUTO,V8,3900,710,340,2.9,"$280,000",Petrol,2,770,
10,FERRARI,812 GTS,V12,6496,789,340,2.9,"$350,000",Petrol,2,718,
11,FERRARI,PORTOFINO,V8,3900,592,320,3.2,"$210,000",Petrol,2+2,760,
12,FERRARI,ROMA,V8,3900,612,320,3.4,"$230,000",Petrol,2+2,760,
13,FERRARI,MONZA SP2,V12,6496,789,340,2.9,"$1,700,000",Petrol,2,719,
14,FERRARI,F8 SPIDER,V8,3900,710,340,2.9,"$280,000",Petrol,2,770,
15,FERRARI,PORTOFINO M,V8,3900,612,320,3.2,"$220,000",Petrol,2+2,760,
16,FERRARI,ROMA SPIDER,V8,3900,612,320,3.4,"$240,000",Petrol,2+2,760,
17,TOYOTA,GR SUPRA,I4,2998,382,250,4.1,"$53,900",Petrol,2,500,
18,TOYOTA,TOYOTA 86,BOXER-4,1998,205,226,6.4,"$27,000",Petrol,2+2,205,
19,TOYOTA,TOYOTA  GR86,BOXER-4,2387,228,226,5.6,"$30,000",Petrol,4,250,
20,TOYOTA,TOYOTA LAND CRUISER,V8,5663,381,220,6.7,"$85,000",Diesel,7,500,
21,TOYOTA,TOYOTA SEQUOIA,V8,5663,381,200,6.9,"$50,000",Petrol,7,651,
22,NISSAN,GT-R,V6,3799,600,315,2.9,"$113,000",Petrol,4,637,
23,NISSAN,370Z,V6,3696,332,250,4.7,"$30,000",Petrol,2,366,
24,NISSAN,Z PROTO,V6,2998,400,290,4.1,"$40,000",Petrol,2,475,
25,NISSAN,ALTIMA,I4,2488,188,225,7.3,"$25,000",Petrol,5,380,
26,NISSAN,MAXIMA,V6,3498,300,240,5.8,"$35,000",Petrol,5,354,
27,NISSAN,SENTRA,I4,1998,149,200,8.2,"$20,000",Petrol,5,240,
28,NISSAN,ROGUE,I4,2488,201,200,7.5,"$28,000",Petrol,5,270,
29,NISSAN,PATHFINDER,V6,3498,284,225,6.5,"$35,000",Petrol,7,351,
30,NISSAN,FRONTIER,V6,3799,310,180,6.8,"$30,000",Petrol,5,381,
31,NISSAN,TITAN,V8,5598,400,200,5.9,"$40,000",Petrol,5,560,
32,ASTON MARTIN,VALKYRIE,V12,6496,1160,402,2.5,"$3,200,000",Hybrid,2,900,
33,ASTON MARTIN,VALHALLA,V8,3996,1000,362,2.5,"$1,100,000",Hybrid,2,1000,
34,ASTON MARTIN,DBS SUPERLEGGERA,V12,5204,715,340,3.4,"$316,000",Petrol,2,900,
35,ASTON MARTIN,DB11,V12,5204,600,322,3.9,"$208,000",Petrol,4,700,
36,ASTON MARTIN,VANTAGE,V8,3996,503,313,3.6,"$142,000",Petrol,2,685,
37,ASTON MARTIN,DBX,V8,3996,542,291,4.5,"$189,000",Petrol,5,700,
38,ASTON MARTIN,RAPIDE AMR,V12,5935,580,328,4.2,"$240,000",Petrol,4,630,
39,ASTON MARTIN,VANQUISH,V12,5935,580,324,3.6,"$294,000",Petrol,2,630,
40,ASTON MARTIN,LAGONDA TARAF,V12,5935,540,314,4.2,"$1,100,000",Petrol,4,630,
41,ASTON MARTIN,VICTOR,V12,5204,836,320,2.8,"$1,300,000",Petrol,2,821,
42,LAMBORGHINI,SIAN,V12,6498,819,350,2.8,"$2,800,000",Hybrid,2,720,0.32
43,LAMBORGHINI,AVENTADOR SVJ,V12,6498,759,350,2.8,"$518,000",Petrol,2,720,
44,LAMBORGHINI,HURACAN PERFORMANTE,V10,5204,640,325,2.9,"$274,000",Petrol,2,600,
45,LAMBORGHINI,HURACAN EVO,V10,5204,640,325,2.9,"$261,000",Petrol,2,600,
46,LAMBORGHINI,AVENTADOR SV,V12,6498,740,350,2.8,"$493,000",Petrol,2,690,
47,LAMBORGHINI,URUS,V8,3996,641,305,3.6,"$211,000",Petrol,5,850,0.3
48,LAMBORGHINI,HURACAN SPYDER,V10,5204,610,325,3.4,"$287,000",Petrol,2,600,
49,LAMBORGHINI,AVENTADOR ROADSTER,V12,6498,700,350,3,"$445,000",Petrol,2,690,
50,LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,5204,640,325,3.1,"$308,000",Petrol,2,600,
51,LAMBORGHINI,AVENTADOR S,V12,6498,740,350,2.9,"$421,000",Petrol,2,690,
52,LAMBORGHINI,HURACAN EVO SPYDER,V10,5204,640,325,3.1,"$287,000",Petrol,2,600,
53,LAMBORGHINI,URUS PERFORMANTE,V8,3996,641,305,3.3,"$242,000",Petrol,5,850,
54,LAMBORGHINI,AVENTADOR ULTIMAE,V12,6498,769,355,2.8,"$545,000",Petrol,2,720,
55,LAMBORGHINI,HURACAN EVO RWD,V10,5204,610,325,3.3,"$258,000",Petrol,2,560,
56,LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,6498,759,350,2.9,"$573,000",Petrol,2,720,
57,LAMBORGHINI,URUS S,V8,3996,671,305,3.3,"$263,000",Petrol,5,850,
58,LAMBORGHINI,HURACAN STO,V10,5204,640,325,3,"$327,000",Petrol,2,565,
59,LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,6498,769,355,2.8,"$545,000",Petrol,2,720,
60,LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,5204,610,325,3.3,"$273,000",Petrol,2,600,
61,LAMBORGHINI,AVENTADOR SVJ XAGO,V12,6498,759,350,2.9,"$603,000",Petrol,2,720,
62,LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,3998,641,305,3.3,"$253,000",Petrol,5,850,
63,LAMBORGHINI,HURACAN STO EVO,V10,5204,640,325,3,"$342,000",Petrol,2,565,
64,LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,6498,769,355,2.8,"$573,000",Petrol,2,720,
65,ROLLS ROYCE,GHOST,V12,6592,591,250,4.8,"$332,000",Petrol,5,850,
66,ROLLS ROYCE,WRAITH,V12,6592,624,250,4.4,"$330,000",Petrol,4,870,
67,ROLLS ROYCE,DAWN,V12,6592,624,250,4.9,"$360,000",Petrol,4,870,
68,ROLLS ROYCE,CULLINAN,V12,6749,563,250,5.2,"$325,000",Petrol,5,850,
69,ROLLS ROYCE,PHANTOM EXTENDED,V12,6749,563,250,5.3,"$500,000",Petrol,5,900,
70,ROLLS ROYCE,GHOST EXTENDED,V12,6592,591,250,4.8,"$370,000",Petrol,5,850,
71,ROLLS ROYCE,WRAITH BLACK BADGE,V12,6592,624,250,4.3,"$360,000",Petrol,4,870,
72,ROLLS ROYCE,DAWN BLACK BADGE,V12,6592,624,250,4.8,"$390,000",Petrol,4,870,
73,ROLLS ROYCE,CULLINAN BLACK BADGE,V12,6749,563,250,5.1,"$350,000",Petrol,5,850,
74,ROLLS ROYCE,PHANTOM COUPE,V12,6749,563,250,5.3,"$450,000",Petrol,4,870,
75,ROLLS ROYCE,GHOST COUPE,V12,6592,591,250,4.8,"$340,000",Petrol,4,850,
76,ROLLS ROYCE,WRAITH COUPE,V12,6592,624,250,4.4,"$330,000",Petrol,4,870,
77,ROLLS ROYCE,DAWN CONVERTIBLE,V12,6592,624,250,4.9,"$380,000",Petrol,4,870,
78,ROLLS ROYCE,CULLINAN SUV,V12,6749,563,250,5.2,"$320,000",Petrol,5,850,
79,MERCEDES,BENZ S-CLASS S 580,V8,3982,496,250,4.4,"$116,000",Petrol,5,700,
80,MERCEDES,BENZ E-CLASS E 63 S,V8,3982,603,250,3.4,"$104,000",Petrol,5,850,
81,MERCEDES,BENZ CLA 45 AMG,I4,1991,382,250,4.1,"$53,000",Petrol,5,500,
82,MERCEDES,BENZ GLE 63 S,V8,3982,603,250,4.2,"$113,000",Petrol,5,850,
83,MERCEDES,BENZ S-CLASS S 500,V6,2996,429,250,4.9,"$109,000",Petrol,5,700,
84,MERCEDES,BENZ E-CLASS E 450,V6,2996,362,250,5.2,"$62,000",Petrol,5,500,
85,MERCEDES,BENZ CLS 450,V6,2996,362,250,5.2,"$70,000",Petrol,5,500,
86,MERCEDES,BENZ GT 53,V6,2996,429,250,4.5,"$99,000",Petrol,5,700,
87,MERCEDES,BENZ GLE 450,V6,2996,362,250,5.5,"$63,000",Petrol,5,500,
88,MERCEDES,BENZ A-CLASS A 45 S,I4,1991,416,250,3.9,"$53,000",Petrol,5,500,
89,MERCEDES,BENZ C-CLASS C 43,V6,2996,402,250,4.7,"$52,000",Petrol,5,520,
90,MERCEDES,BENZ E-CLASS E 350,I4,1991,255,250,5.7,"$49,000",Petrol,5,500,
91,MERCEDES,BENZ GLE 350,I4,1991,255,250,6.1,"$53,000",Petrol,5,500,
92,MERCEDES,BENZ GLC 43,V6,2996,402,250,4.7,"$54,000",Petrol,5,520,
93,MERCEDES,BENZ GLA 45,I4,1991,382,250,4.3,"$48,000",Petrol,5,500,
94,MERCEDES,BENZ GLC 350,I4,1991,255,250,6.1,"$46,000",Petrol,5,500,
95,MERCEDES,BENZ GLE 53,V6,2996,429,250,5.2,"$71,000",Petrol,5,620,
96,MERCEDES,BENZ S-CLASS S 350,I4,1991,255,250,6.5,"$90,000",Petrol,5,500,
97,MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,,751,250,3.4,"$102,000",Electric,5,950,
98,MERCEDES,BENZ MAYBACH S 680,V12,5980,630,250,4.7,"$200,000",Petrol,5,1000,
99,BMW,M5 CS,V8,4395,627,305,3,"$142,000",Petrol,5,750,
100,BMW,M4 GTS,I6,2993,493,305,3.7,"$133,000",Petrol,4,600,
101,BMW,M3 COMPETITION,I6,2993,503,285,3.5,"$76,000",Petrol,5,650,
102,BMW,M2 CS,I6,2993,444,280,4,"$83,000",Petrol,4,550,
103,BMW,X5 M COMPETITION,V8,4935,523,285,4.1,"$114,000",Petrol,5,750,
104,BMW,X3 M COMPETITION,I6,2993,503,285,4.1,"$69,000",Petrol,5,650,
105,BMW,M8 GRAN COUPE,V8,4395,523,305,3.3,"$146,000",Petrol,5,750,
106,BMW,M850i DRIVE COUPE,V8,4935,523,285,3.7,"$108,000",Petrol,4,750,
107,ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,6592,563,250,4.8,"$398,000",Petrol,4,840,
108,ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,6749,563,250,5.1,"$381,000",Petrol,5,850,
109,ROLLS ROYCE,PHATOM TRANQUILITY,V12,6749,563,250,5.3,"$475,000",Petrol,5,900,
110,ROLLS ROYCE,GHOST ZENITH,V12,6749,563,250,4.9,"$335,000",Petrol,5,900,
111,ROLLS ROYCE,WRAITH EAGLE VIII,V12,6592,623,250,4.5,"$349,000",Petrol,4,800,
112,ROLLS ROYCE,PHATOM ORCHID,V12,6749,563,250,5.3,"$495,000",Petrol,5,900,0.3
113,ROLLS ROYCE,GHOST AZURE,V12,6749,563,250,4.9,"$355,000",Petrol,5,900,0.3
114,ROLLS ROYCE,WRAITH KRYPTOS,V12,6592,623,250,4.5,"$369,000",Petrol,4,800,
115,ROLLS ROYCE,DAWN SILVER BULLET,V12,6592,563,250,4.8,"$418,000",Petrol,4,840,
116,ROLLS ROYCE,CULLINAN FUX ORANGE,V12,6749,563,250,5.1,"$401,000",Petrol,5,850,
117,ROLLS ROYCE,PHANTOM CELESTIAL,V12,6749,563,250,5.3,"$515,000",Petrol,5,900,
118,ROLLS ROYCE,GHOST MYSORE,V12,6749,563,250,4.9,"$375,000",Petrol,5,900,
119,ROLLS ROYCE,WRAITH LUMINARY,V12,6592,623,250,4.5,"$389,000",Petrol,4,800,
120,ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,6592,563,250,4.8,"$439,000",Petrol,4,840,
121,ROLLS ROYCE,CULLINAN RED DIAMOND,V12,6749,563,250,5.1,"$421,000",Petrol,5,850,
