vehicle_id,model
CAR_0000,Sf90 Stradale
CAR_0001,Phantom
CAR_0002,Phantom
CAR_0003,Phantom
CAR_0004,Ka+
CAR_0005,Gt 63 S
CAR_0006,Audi R8 Gt
CAR_0007,Mclaren 720S
CAR_0008,Vantage F1
CAR_0009,Continental Gt Azure
CAR_0010,Veneno Roadster
CAR_0011,Veneno Roadster
CAR_0012,Veneno Roadster
CAR_0013,F8 Tributo
CAR_0014,F8 Tributo
CAR_0015,F8 Tributo
CAR_0016,812 Gts
CAR_0017,Portofino
CAR_0018,Portofino
CAR_0019,Portofino
CAR_0020,Roma
CAR_0021,Monza Sp2
CAR_0022,F8 Spider
CAR_0023,Portofino M
CAR_0024,Portofino M
CAR_0025,Portofino M
CAR_0026,Roma Spider
CAR_0027,Gr Supra
CAR_0028,Gr Supra
CAR_0029,Gr Supra
CAR_0030,Toyota 86
CAR_0031,Toyota  Gr86
CAR_0032,Toyota Land Cruiser
CAR_0033,Toyota Sequoia
CAR_0034,Toyota Sequoia
CAR_0035,Toyota Sequoia
CAR_0036,Gt-R
CAR_0037,370Z
CAR_0038,Z Proto
CAR_0039,Altima
CAR_0040,Altima
CAR_0041,Altima
CAR_0042,Maxima
CAR_0043,Sentra
CAR_0044,Rogue
CAR_0045,Rogue
CAR_0046,Rogue
CAR_0047,Pathfinder
CAR_0048,Frontier
CAR_0049,Titan
CAR_0050,Valkyrie
CAR_0051,Valhalla
CAR_0052,Dbs Superleggera
CAR_0053,Db11
CAR_0054,Vantage
CAR_0055,Vantage
CAR_0056,Vantage
CAR_0057,Dbx
CAR_0058,Dbx
CAR_0059,Dbx
CAR_0060,Rapide Amr
CAR_0061,Rapide Amr
CAR_0062,Rapide Amr
CAR_0063,Vanquish
CAR_0064,Lagonda Taraf
CAR_0065,Lagonda Taraf
CAR_0066,Lagonda Taraf
CAR_0067,Victor
CAR_0068,Sian
CAR_0069,Aventador Svj
CAR_0070,Aventador Svj
CAR_0071,Aventador Svj
CAR_0072,Huracan Performante
CAR_0073,Huracan Evo
CAR_0074,Huracan Evo
CAR_0075,Huracan Evo
CAR_0076,Aventador Sv
CAR_0077,Urus
CAR_0078,Huracan Spyder
CAR_0079,Aventador Roadster
CAR_0080,Huracan  Performante Spyder
CAR_0081,Aventador S
CAR_0082,Huracan Evo Spyder
CAR_0083,Huracan Evo Spyder
CAR_0084,Huracan Evo Spyder
CAR_0085,Urus Performante
CAR_0086,Urus Performante
CAR_0087,Urus Performante
CAR_0088,Aventador Ultimae
CAR_0089,Huracan Evo Rwd
CAR_0090,Aventador Svj Roadster
CAR_0091,Urus S
CAR_0092,Huracan Sto
CAR_0093,Aventador Lp 780-4 Ultimate
CAR_0094,Aventador Lp 780-4 Ultimate
CAR_0095,Aventador Lp 780-4 Ultimate
CAR_0096,Huracan Evo Rwd Spyder
CAR_0097,Aventador Svj Xago
CAR_0098,Urus Graphite Capsule
CAR_0099,Urus Graphite Capsule
CAR_0100,Urus Graphite Capsule
CAR_0101,Huracan Sto Evo
CAR_0102,Aventador Lp 780-4 Ultimate Roadster
CAR_0103,Ghost
CAR_0104,Wraith
CAR_0105,Dawn
CAR_0106,Cullinan
CAR_0107,Phantom Extended
CAR_0108,Ghost Extended
CAR_0109,Wraith Black Badge
CAR_0110,Dawn Black Badge
CAR_0111,Cullinan Black Badge
CAR_0112,Phantom Coupe
CAR_0113,Ghost Coupe
CAR_0114,Wraith Coupe
CAR_0115,Wraith Coupe
CAR_0116,Wraith Coupe
CAR_0117,Dawn Convertible
