user_id,destination,length,veh_id,price,weather_id,color
USR0117514,"105.711372, 21.137832",146 km,CAR_1119,60.0,1189,Brown
USR0038943,"105.863721, 21.004652",48 km,CAR_0386,54.0,1243,Green
USR0037659,"105.768985, 20.968723",467 km,CAR_0031,48.0,1066,Orange
USR0191371,"105.867587, 21.156223",128 km,CAR_0799,99.0,1153,Green
USR0112767,"105.820215, 21.093177",160 km,CAR_1164,70.0,1087,Blue
USR0192516,"106.796264, 10.797673",202 km,CAR_0385,48.0,1183,Blue
USR0098367,"105.738955, 20.995754",287 km,CAR_0556,41.0,1069,Yellow
USR0137106,"105.835038, 20.921738",374 km,CAR_0850,141.0,1279,Blue
USR0118732,"106.710428, 10.875056",236 km,CAR_1268,76.0,1009,Silver
USR0123063,"106.684068, 10.715063",348 km,CAR_0300,64.0,1246,Yellow
USR0057410,"105.782750, 21.056899",325 km,CAR_1059,72.0,1213,Blue
USR0099191,"106.616135, 10.780819",25 km,CAR_0069,410.0,1006,Orange
USR0120757,"105.801203, 21.187122",304 km,CAR_1490,44.0,1210,Blue
USR0160001,"106.656208, 10.761932",284 km,CAR_0607,47.0,1249,Silver
USR0174986,"105.773677, 21.009947",405 km,CAR_0521,69.0,1072,Blue
USR0050224,"105.839488, 20.950618",448 km,CAR_0518,57.0,1276,Black
USR0172784,"106.614826, 10.774872",498 km,CAR_1008,33.0,1204,Silver
USR0195011,"106.722212, 10.858478",217 km,CAR_0004,24.0,1219,Orange
USR0049437,"106.766635, 10.772082",402 km,CAR_0541,52.0,1219,Yellow
USR0080364,"106.664921, 10.808252",22 km,CAR_0721,91.0,1207,Yellow
USR0179185,"106.615927, 10.821257",238 km,CAR_0354,88.0,1252,Red
USR0183500,"105.866054, 21.193088",134 km,CAR_1746,31.0,1186,Silver
USR0112576,"106.763409, 10.764065",184 km,CAR_0099,200.0,1279,Grey
USR0112072,"106.614598, 10.729345",344 km,CAR_0150,89.0,1273,Green
USR0012726,"105.886241, 21.105071",482 km,CAR_1668,59.0,1252,White
USR0104702,"105.766813, 20.953200",114 km,CAR_1498,57.0,1069,Black
USR0016504,"105.786259, 21.022565",188 km,CAR_0157,117.0,1066,Red
USR0044930,"106.600794, 10.755988",91 km,CAR_0917,131.0,1069,Silver
USR0069414,"105.865842, 20.971420",372 km,CAR_0436,68.0,1063,Silver
USR0027340,"105.709689, 20.994524",442 km,CAR_0971,28.0,1000,Black
USR0011906,"106.769947, 10.750635",221 km,CAR_0778,35.0,1216,Grey
USR0173278,"105.732902, 20.924037",495 km,CAR_1174,72.0,1072,Grey
USR0146685,"106.654356, 10.717516",351 km,CAR_0342,45.0,1216,White
USR0022615,"106.795684, 10.751265",377 km,CAR_1381,77.0,1219,Black
USR0041367,"105.856011, 20.945013",293 km,CAR_0443,52.0,1069,Yellow
USR0152898,"105.884796, 21.052307",420 km,CAR_1019,64.0,1225,Blue
USR0022731,"105.727459, 21.045554",479 km,CAR_1598,29.0,1069,Green
USR0152293,"106.684048, 10.809565",337 km,CAR_0554,47.0,1072,Green
USR0073339,"105.845140, 21.062002",171 km,CAR_0611,28.0,1003,Grey
USR0018033,"106.727717, 10.832731",194 km,CAR_1074,76.0,1168,Black
USR0002514,"105.751098, 20.989921",199 km,CAR_0917,131.0,1207,Silver
USR0068000,"106.601424, 10.762455",220 km,CAR_1222,48.0,1171,Orange
USR0031221,"105.817695, 21.194903",24 km,CAR_1539,47.0,1201,Red
USR0137511,"106.739817, 10.837691",463 km,CAR_0062,194.0,1204,Black
USR0105960,"106.619986, 10.857183",191 km,CAR_0633,56.0,1264,Brown
USR0168531,"105.883286, 21.196973",471 km,CAR_0405,34.0,1183,Yellow
USR0159517,"106.782930, 10.773260",158 km,CAR_0029,81.0,1066,Red
USR0142146,"105.701444, 21.142692",107 km,CAR_0534,78.0,1201,Green
USR0189031,"105.865466, 21.100264",13 km,CAR_0202,64.0,1171,Yellow
USR0177062,"105.858296, 21.070478",451 km,CAR_1688,50.0,1207,White
USR0068891,"105.783715, 21.035368",417 km,CAR_1502,76.0,1237,Silver
USR0003555,"106.679431, 10.726521",192 km,CAR_0499,47.0,1195,Green
USR0194437,"105.749203, 21.006746",115 km,CAR_0571,74.0,1246,Yellow
USR0187380,"106.626160, 10.866075",456 km,CAR_1509,47.0,1180,Silver
USR0000238,"106.744646, 10.847249",444 km,CAR_0793,141.0,1066,Red
USR0095634,"106.633118, 10.725888",182 km,CAR_1393,122.0,1249,Green
USR0194911,"105.867053, 21.067814",255 km,CAR_0144,83.0,1192,Black
USR0090913,"106.744881, 10.892718",453 km,CAR_1013,102.0,1063,Blue
USR0169089,"105.709156, 21.018652",38 km,CAR_1470,36.0,1069,Silver
USR0165716,"105.791062, 20.998552",112 km,CAR_0077,165.0,1246,White
USR0052664,"106.636715, 10.886794",260 km,CAR_1628,40.0,1153,Yellow
USR0166384,"106.767920, 10.797577",430 km,CAR_0841,99.0,1243,Brown
USR0019022,"105.864221, 21.110256",332 km,CAR_1054,48.0,1225,Yellow
USR0185618,"106.660047, 10.826679",275 km,CAR_1552,47.0,1240,White
USR0116746,"106.702432, 10.872517",322 km,CAR_0225,44.0,1273,Brown
USR0136241,"106.723223, 10.723427",197 km,CAR_1417,45.0,1000,White
USR0040894,"105.770167, 21.138268",125 km,CAR_0044,54.0,1279,Grey
USR0183500,"105.751388, 20.903217",351 km,CAR_0210,77.0,1243,Grey
USR0069414,"105.833066, 21.139157",45 km,CAR_1615,45.0,1000,Silver
USR0038066,"105.798754, 20.911422",440 km,CAR_0720,33.0,1213,White
USR0005444,"105.810123, 21.093382",264 km,CAR_0585,27.0,1264,Red
USR0125904,"106.603071, 10.799817",122 km,CAR_1581,42.0,1183,Green
USR0082185,"106.719411, 10.813412",257 km,CAR_0226,50.0,1207,Yellow
USR0165716,"105.865608, 21.079587",218 km,CAR_0497,56.0,1030,Brown
USR0066672,"105.836036, 21.198633",55 km,CAR_0835,102.0,1237,Green
USR0052723,"105.791470, 21.166081",320 km,CAR_0755,48.0,1072,Black
USR0096996,"105.816702, 21.034435",186 km,CAR_0913,178.0,1009,Silver
USR0017597,"105.719406, 21.135343",204 km,CAR_1535,79.0,1243,Yellow
USR0069414,"106.609115, 10.789371",398 km,CAR_1193,78.0,1276,Silver
USR0131851,"105.727573, 21.094983",486 km,CAR_1676,32.0,1222,Orange
USR0018592,"106.666674, 10.849309",498 km,CAR_0136,94.0,1216,White
USR0098198,"106.659002, 10.747954",433 km,CAR_0254,50.0,1225,White
USR0140130,"106.771266, 10.716788",242 km,CAR_1536,81.0,1072,White
USR0140633,"106.790303, 10.769629",215 km,CAR_1180,111.0,1180,White
USR0167105,"105.864007, 21.197952",229 km,CAR_1295,112.0,1192,Brown
USR0102182,"106.792509, 10.871302",361 km,CAR_0643,31.0,1237,Brown
USR0068417,"106.796144, 10.798729",412 km,CAR_0648,48.0,1240,White
USR0043787,"106.642859, 10.776996",162 km,CAR_0342,44.0,1168,White
USR0095929,"106.706096, 10.845972",31 km,CAR_1424,49.0,1237,Black
USR0118833,"106.746308, 10.817418",399 km,CAR_1255,49.0,1030,White
USR0099551,"105.786667, 21.095477",221 km,CAR_0873,70.0,1030,Yellow
USR0184259,"106.768778, 10.871106",18 km,CAR_0526,51.0,1240,White
USR0066288,"106.710430, 10.835981",495 km,CAR_0201,89.0,1279,Grey
USR0095202,"105.767109, 20.978786",251 km,CAR_0436,68.0,1252,Silver
USR0103680,"105.760715, 21.144241",146 km,CAR_0362,48.0,1183,Red
USR0028548,"105.860241, 20.945090",146 km,CAR_0646,38.0,1153,Silver
USR0045857,"105.787389, 21.176030",376 km,CAR_0228,59.0,1273,Blue
USR0080480,"105.761137, 21.130434",424 km,CAR_1243,37.0,1210,Black
USR0005922,"106.759445, 10.749050",89 km,CAR_0397,39.0,1072,Black
USR0060088,"106.641708, 10.890628",349 km,CAR_1657,61.0,1183,Orange
USR0076747,"106.785429, 10.800260",204 km,CAR_1081,71.0,1204,Black
USR0158468,"106.673067, 10.766906",483 km,CAR_1751,44.0,1210,Orange
USR0066892,"105.761524, 20.956971",17 km,CAR_0312,53.0,1261,Grey
USR0070678,"106.762521, 10.803032",43 km,CAR_1264,62.0,1147,Green
USR0108268,"106.608257, 10.854284",231 km,CAR_0711,22.0,1168,Brown
USR0061816,"105.758626, 20.928457",417 km,CAR_0321,67.0,1000,Black
USR0039874,"106.668657, 10.880198",415 km,CAR_0309,57.0,1249,Brown
USR0042364,"106.611513, 10.776345",463 km,CAR_0266,59.0,1252,Blue
USR0103626,"106.698504, 10.846387",106 km,CAR_0879,88.0,1204,Black
USR0143287,"106.634746, 10.871946",251 km,CAR_0676,51.0,1189,Red
USR0055629,"105.785105, 20.994940",16 km,CAR_1436,47.0,1072,Green
USR0013315,"106.607348, 10.727300",182 km,CAR_1244,43.0,1009,Blue
USR0095414,"105.799506, 20.987987",473 km,CAR_1694,38.0,1006,Red
USR0073581,"106.656211, 10.898853",484 km,CAR_1621,38.0,1249,Black
USR0063494,"105.845559, 20.937715",148 km,CAR_0080,246.0,1243,Grey
USR0040627,"105.896666, 21.106908",149 km,CAR_0356,70.0,1219,Orange
USR0153602,"105.789306, 20.994893",395 km,CAR_1208,60.0,1186,Yellow
USR0149416,"105.746105, 20.975738",457 km,CAR_0307,56.0,1087,Red
USR0056587,"105.892324, 20.919185",175 km,CAR_1603,46.0,1225,Brown
USR0074130,"106.691608, 10.802350",301 km,CAR_1394,68.0,1006,Yellow
USR0051204,"106.665498, 10.816624",35 km,CAR_1067,84.0,1222,Red
USR0129630,"105.759464, 21.093257",132 km,CAR_0404,78.0,1201,Green
USR0003427,"106.768726, 10.869753",146 km,CAR_1547,65.0,1273,Black
USR0106236,"105.877685, 21.178303",469 km,CAR_0728,171.0,1186,Grey
USR0140280,"105.738980, 21.072091",232 km,CAR_1445,86.0,1264,Red
USR0151075,"106.724096, 10.713255",349 km,CAR_0702,74.0,1195,Grey
USR0039504,"105.835946, 21.132863",118 km,CAR_0725,63.0,1195,Blue
USR0182283,"105.747917, 21.032341",147 km,CAR_1042,37.0,1186,Green
USR0064887,"105.765869, 20.945853",336 km,CAR_0436,72.0,1153,Silver
USR0027945,"105.735633, 21.134187",19 km,CAR_1584,52.0,1264,Blue
USR0104702,"105.778398, 20.967858",413 km,CAR_0954,18.0,1219,Grey
USR0195821,"106.775203, 10.850968",373 km,CAR_1699,61.0,1201,Red
USR0148351,"106.615519, 10.708781",103 km,CAR_0902,110.0,1192,Green
USR0028369,"105.774566, 21.116983",324 km,CAR_0306,63.0,1135,Black
USR0012726,"106.651795, 10.887319",493 km,CAR_0943,15.0,1237,Yellow
USR0082952,"105.725904, 21.142505",347 km,CAR_0101,273.0,1243,Orange
USR0135639,"105.724097, 21.192644",478 km,CAR_0501,57.0,1192,Green
USR0028244,"106.798953, 10.828982",282 km,CAR_0897,87.0,1180,Orange
USR0093057,"105.725565, 21.044016",143 km,CAR_1755,46.0,1195,Green
USR0171247,"105.700042, 21.127108",454 km,CAR_1403,60.0,1249,Green
USR0166377,"106.759201, 10.805617",429 km,CAR_0178,320.0,1222,Green
USR0068498,"105.719731, 21.018614",291 km,CAR_0888,90.0,1087,Red
USR0066961,"106.622423, 10.772661",189 km,CAR_1243,37.0,1222,Black
USR0008639,"105.848078, 20.934728",18 km,CAR_1417,45.0,1087,White
USR0034935,"106.712307, 10.837163",243 km,CAR_0411,58.0,1240,Grey
USR0059487,"105.880591, 21.139440",43 km,CAR_0125,81.0,1243,Yellow
USR0065264,"106.708442, 10.701996",302 km,CAR_0218,78.0,1246,Grey
USR0040627,"105.808378, 21.130860",409 km,CAR_0712,18.0,1264,Blue
USR0131909,"105.824805, 21.017796",386 km,CAR_0707,55.0,1153,Blue
USR0018592,"106.687649, 10.842514",236 km,CAR_1465,48.0,1237,Black
USR0163843,"105.795674, 20.938560",97 km,CAR_0672,52.0,1000,Blue
USR0084098,"106.655379, 10.823207",394 km,CAR_1507,395.0,1180,Yellow
USR0040304,"106.714382, 10.881722",19 km,CAR_1445,82.0,1030,Red
USR0105016,"106.746063, 10.760890",352 km,CAR_0195,78.0,1249,Yellow
USR0144784,"106.606245, 10.716334",66 km,CAR_1160,95.0,1276,Green
USR0190336,"106.676602, 10.892687",456 km,CAR_0235,66.0,1171,Black
USR0160489,"106.710463, 10.852326",23 km,CAR_0679,39.0,1219,Blue
USR0082560,"105.788562, 21.023700",357 km,CAR_0518,57.0,1198,Black
USR0166364,"105.746327, 21.036298",238 km,CAR_0467,54.0,1189,Black
USR0086499,"105.793567, 21.102821",402 km,CAR_1633,47.0,1207,Green
USR0051204,"105.729780, 21.068451",40 km,CAR_0945,31.0,1135,Red
USR0194437,"106.726750, 10.700141",233 km,CAR_0297,57.0,1216,Black
USR0050409,"105.808004, 21.199866",239 km,CAR_0384,78.0,1183,White
USR0135670,"105.826039, 20.930373",98 km,CAR_0197,63.0,1264,Green
USR0067043,"106.728183, 10.741169",442 km,CAR_0773,79.0,1000,Red
USR0173346,"105.899516, 21.057972",10 km,CAR_1216,44.0,1153,Grey
USR0063470,"106.685024, 10.864117",101 km,CAR_0914,148.0,1030,Red
USR0010488,"106.762539, 10.788044",108 km,CAR_1364,97.0,1279,Green
USR0199707,"105.803877, 20.938540",235 km,CAR_0084,228.0,1168,Grey
USR0179584,"105.703648, 21.077187",203 km,CAR_1755,49.0,1216,Green
USR0173066,"106.640753, 10.852961",65 km,CAR_0905,111.0,1210,Red
USR0010488,"106.793163, 10.770338",466 km,CAR_0025,180.0,1210,Brown
USR0169214,"106.686137, 10.758494",474 km,CAR_0137,95.0,1210,Green
