user_id,destination,length,veh_id,price,weather_id,color
USR0119028,"105.841113, 20.999688",220 km,BIKE_15897,23.0,1246,Red
USR0061372,"105.807203, 20.997346",383 km,BIKE_01215,27.0,1150,Silver
USR0098299,"105.709500, 20.971449",386 km,BIKE_10054,30.0,1183,Black
USR0001276,"105.728041, 21.032656",377 km,BIKE_14113,39.0,1030,Black
USR0078520,"106.686201, 10.899786",66 km,BIKE_15888,29.0,1198,Red
USR0009077,"106.743736, 10.776341",89 km,BIKE_14399,20.0,1069,Blue
USR0098413,"106.758786, 10.853300",265 km,BIKE_06542,20.0,1072,Black
USR0044151,"105.867699, 21.188567",247 km,BIKE_02536,27.0,1168,Orange
USR0168365,"105.776328, 21.063187",473 km,BIKE_03386,24.0,1030,Red
USR0121227,"106.630397, 10.773461",328 km,BIKE_26633,11.0,1183,Blue
USR0027702,"106.771432, 10.898671",285 km,BIKE_25846,8.0,1147,White
USR0122036,"106.785571, 10.804207",407 km,BIKE_23372,22.0,1264,White
USR0117828,"106.751046, 10.765318",358 km,BIKE_35325,24.0,1273,Blue
USR0021213,"106.604175, 10.775326",172 km,BIKE_04045,33.0,1087,Grey
USR0066850,"105.775062, 20.918890",263 km,BIKE_02054,11.0,1135,Grey
USR0061552,"105.854001, 21.187084",349 km,BIKE_25013,27.0,1135,Grey
USR0112241,"106.641567, 10.714572",188 km,BIKE_12166,23.0,1192,Silver
USR0183500,"106.653121, 10.818316",17 km,BIKE_25912,24.0,1150,Black
USR0158065,"105.888774, 21.181165",266 km,BIKE_29357,25.0,1249,White
USR0077832,"106.779465, 10.741286",166 km,BIKE_38313,37.0,1276,Blue
USR0031412,"106.795189, 10.806402",136 km,BIKE_33293,17.0,1006,Grey
USR0160707,"106.654753, 10.863451",42 km,BIKE_37555,16.0,1183,Black
USR0158468,"106.646084, 10.872356",127 km,BIKE_10182,24.0,1192,Unknown
USR0090267,"106.738260, 10.768406",497 km,BIKE_12169,25.0,1066,Grey
USR0122036,"106.723541, 10.814364",308 km,BIKE_26530,26.0,1063,Grey
USR0180047,"105.762192, 21.080265",300 km,BIKE_24555,24.0,1237,Black
USR0099551,"105.885416, 20.964906",265 km,BIKE_03128,8.0,1279,White
USR0182564,"105.769127, 21.090912",272 km,BIKE_12865,8.0,1219,Black
USR0099191,"105.718104, 21.117609",476 km,BIKE_29940,35.0,1219,Unknown
USR0036357,"105.792065, 20.926649",200 km,BIKE_07794,24.0,1249,White
USR0130095,"106.767262, 10.804801",95 km,BIKE_12581,29.0,1222,Grey
USR0039358,"106.688999, 10.809290",132 km,BIKE_32563,24.0,1087,Blue
USR0136621,"106.732099, 10.726351",347 km,BIKE_12776,11.0,1198,Unknown
USR0158065,"106.748159, 10.711623",412 km,BIKE_28881,26.0,1210,Black
USR0027214,"105.887870, 21.022068",27 km,BIKE_14518,40.0,1222,Yellow
USR0139702,"106.629627, 10.771723",387 km,BIKE_00578,28.0,1243,Grey
USR0010180,"105.775907, 21.177223",108 km,BIKE_31838,26.0,1216,Black
USR0045652,"105.895014, 21.025321",437 km,BIKE_33068,42.0,1213,Silver
USR0186639,"105.792232, 21.192256",88 km,BIKE_09620,27.0,1180,Blue
USR0102220,"106.681764, 10.876227",384 km,BIKE_16513,30.0,1195,White
USR0133131,"106.735826, 10.702401",10 km,BIKE_16421,19.0,1063,Yellow
USR0066494,"106.768900, 10.740299",214 km,BIKE_20948,30.0,1207,Black
USR0164789,"105.862348, 20.914065",366 km,BIKE_25629,12.0,1030,Blue
USR0114784,"105.746366, 20.998424",391 km,BIKE_07249,11.0,1150,Blue
USR0010488,"106.608326, 10.899268",11 km,BIKE_03406,26.0,1147,White
USR0051167,"105.727165, 21.079635",437 km,BIKE_23304,47.0,1171,Black
USR0049725,"106.697842, 10.849393",323 km,BIKE_25130,28.0,1213,Black
USR0122335,"105.793503, 21.110227",90 km,BIKE_13981,24.0,1249,Black
USR0053627,"106.657817, 10.734453",280 km,BIKE_06573,9.0,1225,Black
USR0047046,"105.897066, 21.052538",314 km,BIKE_15731,25.0,1222,Red
USR0195659,"105.871191, 21.110094",42 km,BIKE_21358,43.0,1249,Silver
USR0060997,"106.745755, 10.814782",457 km,BIKE_02279,31.0,1006,Black
