osmid,y,x,street_count,highway,junction,railway,ref,geometry
366372433,10.99375,106.3768609,3,,,,,POINT (106.3768609 10.99375)
366389789,10.9927974,106.3833257,3,,,,,POINT (106.3833257 10.9927974)
366397178,10.9937956,106.3748904,3,,,,,POINT (106.3748904 10.9937956)
366401779,10.9808963,106.3650729,3,,,,,POINT (106.3650729 10.9808963)
366409607,10.9912599,106.3981241,3,,,,,POINT (106.3981241 10.9912599)
366412194,10.9833082,106.3715638,3,,,,,POINT (106.3715638 10.9833082)
366421144,10.990779,106.3703245,1,,,,,POINT (106.3703245 10.990779)
366421502,10.9842688,106.3748762,4,,,,,POINT (106.3748762 10.9842688)
366428683,10.9702826,106.373072,3,,,,,POINT (106.373072 10.9702826)
366431851,10.9938296,106.3725647,3,,,,,POINT (106.3725647 10.9938296)
366441543,10.9816539,106.3644978,3,,,,,POINT (106.3644978 10.9816539)
366452752,10.9701884,106.3733554,3,,,,,POINT (106.3733554 10.9701884)
366459517,10.9933928,106.3797118,3,,,,,POINT (106.3797118 10.9933928)
366465167,10.9912572,106.400923,3,,,,,POINT (106.400923 10.9912572)
366467692,10.9912742,106.402922,3,,,,,POINT (106.402922 10.9912742)
366469563,10.9819403,106.3642717,3,,,,,POINT (106.3642717 10.9819403)
366471254,10.9825823,106.3641557,4,,,,,POINT (106.3641557 10.9825823)
1610944973,10.9712614,106.415801,3,,,,,POINT (106.415801 10.9712614)
3466961264,10.9966439,106.3718782,3,,,,,POINT (106.3718782 10.9966439)
7243474671,10.9947655,106.3872859,1,,,,,POINT (106.3872859 10.9947655)
7243487587,10.9952353,106.4009266,3,,,,,POINT (106.4009266 10.9952353)
7243489275,10.9895239,106.3859511,3,,,,,POINT (106.3859511 10.9895239)
7243489277,10.9910773,106.388904,3,,,,,POINT (106.388904 10.9910773)
7243489278,10.9917311,106.3899303,3,,,,,POINT (106.3899303 10.9917311)
7243489279,10.9903518,106.3875898,3,,,,,POINT (106.3875898 10.9903518)
7243489280,10.9855265,106.3872966,3,,,,,POINT (106.3872966 10.9855265)
7243504780,10.984847,106.387136,3,,,,,POINT (106.387136 10.984847)
7243510183,10.9912687,106.3940444,3,,,,,POINT (106.3940444 10.9912687)
7243512300,10.9860191,106.3888071,3,,,,,POINT (106.3888071 10.9860191)
7243518199,10.9845767,106.3862515,3,,,,,POINT (106.3862515 10.9845767)
7243518204,10.9894691,106.3858241,3,,,,,POINT (106.3858241 10.9894691)
7243521691,10.9842812,106.393295,3,,,,,POINT (106.393295 10.9842812)
7243521695,10.9818989,106.3922882,3,,,,,POINT (106.3922882 10.9818989)
7243521706,10.991266,106.3950509,3,,,,,POINT (106.3950509 10.991266)
7243521717,10.9912696,106.3934845,3,,,,,POINT (106.3934845 10.9912696)
7243521723,10.9862565,106.3909344,3,,,,,POINT (106.3909344 10.9862565)
7243524472,10.9912555,106.3967729,3,,,,,POINT (106.3967729 10.9912555)
7243549410,10.9912653,106.3991152,3,,,,,POINT (106.3991152 10.9912653)
7243560584,10.9911519,106.4061499,3,,,,,POINT (106.4061499 10.9911519)
7243566492,10.99126,106.39553,3,,,,,POINT (106.39553 10.99126)
7243566494,10.9912604,106.3956079,3,,,,,POINT (106.3956079 10.9912604)
7243586303,10.9912792,106.402309,3,,,,,POINT (106.402309 10.9912792)
7243598909,10.9913635,106.392053,3,,,,,POINT (106.392053 10.9913635)
7243598918,10.984778,106.3910113,3,,,,,POINT (106.3910113 10.984778)
7251774033,10.9977939,106.3790028,3,,,,,POINT (106.3790028 10.9977939)
7251774045,10.9976904,106.3758243,3,,,,,POINT (106.3758243 10.9976904)
7251774053,10.993788,106.3758995,3,,,,,POINT (106.3758995 10.993788)
7251793532,10.9938781,106.3833519,3,,,,,POINT (106.3833519 10.9938781)
7251793534,10.9938309,106.3812684,3,,,,,POINT (106.3812684 10.9938309)
7251803172,10.994367,106.3708024,3,,,,,POINT (106.3708024 10.994367)
7251836373,10.9931325,106.3813239,3,,,,,POINT (106.3813239 10.9931325)
7251836374,10.9947142,106.3811999,1,,,,,POINT (106.3811999 10.9947142)
7251836378,10.9971629,106.3788711,3,,,,,POINT (106.3788711 10.9971629)
7251836379,10.9961513,106.3789509,3,,,,,POINT (106.3789509 10.9961513)
7251836381,10.9952884,106.3791552,3,,,,,POINT (106.3791552 10.9952884)
7251842686,10.9935958,106.3781476,3,,,,,POINT (106.3781476 10.9935958)
7251842693,10.9972048,106.3768843,1,,,,,POINT (106.3768843 10.9972048)
7251842697,10.9960224,106.3761132,3,,,,,POINT (106.3761132 10.9960224)
7251865072,10.9968214,106.3741648,3,,,,,POINT (106.3741648 10.9968214)
7251865081,10.9967286,106.3718625,3,,,,,POINT (106.3718625 10.9967286)
7251865084,10.9954538,106.3739877,3,,,,,POINT (106.3739877 10.9954538)
7251914692,10.9949886,106.3724246,3,,,,,POINT (106.3724246 10.9949886)
