osmid,y,x,street_count,highway,ref,junction,railway,geometry
84806187,20.9656991,105.8797209,3,,,,,POINT (105.8797209 20.9656991)
84806193,20.9671231,105.8816754,3,,,,,POINT (105.8816754 20.9671231)
84806195,20.9673392,105.8818568,4,,,,,POINT (105.8818568 20.9673392)
84806203,20.9690056,105.8840523,3,,,,,POINT (105.8840523 20.9690056)
84806238,20.9785348,105.8911998,4,,,,,POINT (105.8911998 20.9785348)
84837637,20.8734996,105.8635741,3,,,,,POINT (105.8635741 20.8734996)
84837640,20.8772146,105.862047,3,,,,,POINT (105.862047 20.8772146)
84837685,20.9238091,105.8511582,3,,,,,POINT (105.8511582 20.9238091)
84837707,20.9466273,105.8444644,3,,,,,POINT (105.8444644 20.9466273)
84837711,20.9492295,105.8444862,4,,,,,POINT (105.8444862 20.9492295)
84837729,20.9684214,105.8419407,3,,,,,POINT (105.8419407 20.9684214)
84841359,20.965578,105.8421117,4,,,,,POINT (105.8421117 20.965578)
84842923,20.9632773,105.8748671,3,,,,,POINT (105.8748671 20.9632773)
91718204,20.9375858,105.7290538,4,,,,,POINT (105.7290538 20.9375858)
92398473,20.7000314,105.9106747,3,,,,,POINT (105.9106747 20.7000314)
92400812,20.719195,105.9108651,4,,,,,POINT (105.9108651 20.719195)
92400813,20.7222792,105.9123015,4,,,,,POINT (105.9123015 20.7222792)
92400815,20.732215,105.9124476,3,,,,,POINT (105.9124476 20.732215)
92400834,20.8305716,105.877847,3,,,,,POINT (105.877847 20.8305716)
92400838,20.8594015,105.8685117,3,,,,,POINT (105.8685117 20.8594015)
104795733,20.9713566,105.8538457,1,,,,,POINT (105.8538457 20.9713566)
104795760,20.9710587,105.8504175,4,,,,,POINT (105.8504175 20.9710587)
104795775,20.9726488,105.8465116,3,,,,,POINT (105.8465116 20.9726488)
104795784,20.9739577,105.8454317,4,,,,,POINT (105.8454317 20.9739577)
104795787,20.9739793,105.8410203,3,,,,,POINT (105.8410203 20.9739793)
104796570,20.9723192,105.845045,3,,,,,POINT (105.845045 20.9723192)
104796575,20.9726144,105.8459088,3,,,,,POINT (105.8459088 20.9726144)
104796578,20.9725906,105.8464445,3,,,,,POINT (105.8464445 20.9725906)
104796584,20.9712607,105.8411968,3,,,,,POINT (105.8411968 20.9712607)
106390163,20.9757155,105.8492187,4,,,,,POINT (105.8492187 20.9757155)
106391959,20.9754818,105.832825,3,,,,,POINT (105.832825 20.9754818)
106391960,20.9754805,105.8359254,4,,,,,POINT (105.8359254 20.9754805)
106391963,20.9754872,105.8370025,3,,,,,POINT (105.8370025 20.9754872)
106392371,20.975747,105.8369805,3,,,,,POINT (105.8369805 20.975747)
106392372,20.9757428,105.8359259,4,,,,,POINT (105.8359259 20.9757428)
106392373,20.975745,105.834478,4,,,,,POINT (105.834478 20.975745)
106392374,20.975753,105.8328222,3,,,,,POINT (105.8328222 20.975753)
106393789,20.9732694,105.8370223,4,,,,,POINT (105.8370223 20.9732694)
106393795,20.9716337,105.8370493,3,,,,,POINT (105.8370493 20.9716337)
106393935,20.9732719,105.8352748,4,,,,,POINT (105.8352748 20.9732719)
106393936,20.9732723,105.8359169,4,,,,,POINT (105.8359169 20.9732723)
106394882,20.9740518,105.8335411,3,,,,,POINT (105.8335411 20.9740518)
106394883,20.9740405,105.8345116,4,,,,,POINT (105.8345116 20.9740405)
106394884,20.9740405,105.8348346,4,,,,,POINT (105.8348346 20.9740405)
106394886,20.9740409,105.8351726,3,,,,,POINT (105.8351726 20.9740409)
106394889,20.9741104,105.8355404,3,,,,,POINT (105.8355404 20.9741104)
106395383,20.9750804,105.8348342,3,,,,,POINT (105.8348342 20.9750804)
106395385,20.9735195,105.8352504,3,,,,,POINT (105.8352504 20.9735195)
106395386,20.9738403,105.8352458,3,,,,,POINT (105.8352458 20.9738403)
106396034,20.9732661,105.8345221,3,,,,,POINT (105.8345221 20.9732661)
106396036,20.9754785,105.8344848,4,,,,,POINT (105.8344848 20.9754785)
106396037,20.9771156,105.8344535,3,,,,,POINT (105.8344535 20.9771156)
106396293,20.9732577,105.8328494,3,,,,,POINT (105.8328494 20.9732577)
106396975,20.9742845,105.8335252,3,,,,,POINT (105.8335252 20.9742845)
106396977,20.9736507,105.8335372,4,,,,,POINT (105.8335372 20.9736507)
106396978,20.9732597,105.8335467,3,,,,,POINT (105.8335467 20.9732597)
106397126,20.9736478,105.8328439,3,,,,,POINT (105.8328439 20.9736478)
106397493,20.974117,105.8370203,3,,,,,POINT (105.8370203 20.974117)
106397494,20.9741154,105.836617,4,,,,,POINT (105.836617 20.9741154)
106397818,20.9749855,105.8363616,3,,,,,POINT (105.8363616 20.9749855)
106397821,20.9749831,105.8370238,3,,,,,POINT (105.8370238 20.9749831)
106398025,20.9732708,105.836608,4,,,,,POINT (105.836608 20.9732708)
106398026,20.9749846,105.8366219,3,,,,,POINT (105.8366219 20.9749846)
106398352,20.9741145,105.836358,3,,,,,POINT (105.836358 20.9741145)
106398664,20.9748919,105.8351691,3,,,,,POINT (105.8351691 20.9748919)
106398666,20.9748866,105.8355286,3,,,,,POINT (105.8355286 20.9748866)
106398919,20.9750771,105.8351683,3,,,,,POINT (105.8351683 20.9750771)
106398920,20.9750836,105.8345054,3,,,,,POINT (105.8345054 20.9750836)
106407984,20.9705328,105.8243597,3,,,,,POINT (105.8243597 20.9705328)
106407985,20.970312,105.825194,3,,,,,POINT (105.825194 20.970312)
106408695,20.9694364,105.8295807,3,,,,,POINT (105.8295807 20.9694364)
106408697,20.9695068,105.8299414,3,,,,,POINT (105.8299414 20.9695068)
106409245,20.9710671,105.8297608,3,,,,,POINT (105.8297608 20.9710671)
106409246,20.9696916,105.8302709,4,,,,,POINT (105.8302709 20.9696916)
106410562,20.9708149,105.8290277,3,,,,,POINT (105.8290277 20.9708149)
