osmid,y,x,street_count,highway,ref,railway,junction,geometry
260019880,10.987075,108.1520687,3,,,,,POINT (108.1520687 10.987075)
260020057,10.9604433,108.1211946,4,,,,,POINT (108.1211946 10.9604433)
260020058,10.958898,108.1193903,3,,,,,POINT (108.1193903 10.958898)
260020059,10.9584571,108.1188895,3,,,,,POINT (108.1188895 10.9584571)
260020061,10.9513634,108.112265,3,,,,,POINT (108.112265 10.9513634)
311591233,10.979325,108.1125453,3,,,,,POINT (108.1125453 10.979325)
311591250,10.9912107,108.1169623,3,,,,,POINT (108.1169623 10.9912107)
311591434,10.9945367,108.118111,3,,,,,POINT (108.118111 10.9945367)
369081657,10.930524,108.1047295,4,,,,,POINT (108.1047295 10.930524)
369081665,10.9339393,108.1255345,4,,,,,POINT (108.1255345 10.9339393)
369081666,10.9348886,108.1292492,3,,,,,POINT (108.1292492 10.9348886)
369081674,10.9378825,108.1454183,4,,,,,POINT (108.1454183 10.9378825)
369081681,10.9397607,108.1645497,3,,,,,POINT (108.1645497 10.9397607)
369081714,10.9545949,108.2412492,3,,,,,POINT (108.2412492 10.9545949)
369081726,10.9409954,108.2794135,3,,,,,POINT (108.2794135 10.9409954)
491517834,10.9295255,108.1049517,3,,,,,POINT (108.1049517 10.9295255)
491517839,10.928623,108.1104682,3,,,,,POINT (108.1104682 10.928623)
491517841,10.9293623,108.1106474,4,,,,,POINT (108.1106474 10.9293623)
491517843,10.9308599,108.1109298,3,,,,,POINT (108.1109298 10.9308599)
491517845,10.9325977,108.111118,4,traffic_signals,,,,POINT (108.111118 10.9325977)
491517852,10.9405781,108.1408151,3,,,,,POINT (108.1408151 10.9405781)
491517856,10.9402374,108.1339908,4,,,,,POINT (108.1339908 10.9402374)
491517858,10.9402686,108.1370076,3,,,,,POINT (108.1370076 10.9402686)
491517866,10.9390518,108.1674382,3,,,,,POINT (108.1674382 10.9390518)
491517879,10.9355535,108.1685803,3,,,,,POINT (108.1685803 10.9355535)
491517901,10.9326763,108.161795,1,,,,,POINT (108.161795 10.9326763)
491517919,10.9376208,108.173239,3,,,,,POINT (108.173239 10.9376208)
491517927,10.9380789,108.1771225,3,,,,,POINT (108.1771225 10.9380789)
491517929,10.9381933,108.1775751,3,,,,,POINT (108.1775751 10.9381933)
