osmid,y,x,street_count,junction,highway,ref,railway,geometry
622797516,21.0059402,107.2936895,3,,,,,POINT (107.2936895 21.0059402)
622797517,21.0117985,107.3575821,3,,,,,POINT (107.3575821 21.0117985)
622797520,21.004013,107.3289559,7,,,,,POINT (107.3289559 21.004013)
622797522,21.0031341,107.3242823,3,,,,,POINT (107.3242823 21.0031341)
622797573,21.0089819,107.3406516,4,,,,,POINT (107.3406516 21.0089819)
763379492,21.3015123,107.3511901,3,,,,,POINT (107.3511901 21.3015123)
763379538,21.0732108,107.3285636,4,,,,,POINT (107.3285636 21.0732108)
763379730,21.0762983,107.33914,3,,,,,POINT (107.33914 21.0762983)
763379986,21.1333034,107.35247,3,,,,,POINT (107.35247 21.1333034)
763379989,21.1711045,107.3577479,3,,,,,POINT (107.3577479 21.1711045)
763380090,21.060103,107.3481384,3,,,,,POINT (107.3481384 21.060103)
763380118,21.1228526,107.3443904,3,,,,,POINT (107.3443904 21.1228526)
763380180,21.0817034,107.3497629,3,,,,,POINT (107.3497629 21.0817034)
763380198,21.0639753,107.3377469,3,,,,,POINT (107.3377469 21.0639753)
763380303,21.040533,107.3585776,3,,,,,POINT (107.3585776 21.040533)
763380309,21.166323,107.357519,3,,,,,POINT (107.357519 21.166323)
763380368,21.1396255,107.3526762,3,,,,,POINT (107.3526762 21.1396255)
763380376,21.0609335,107.3344553,3,,,,,POINT (107.3344553 21.0609335)
763380417,21.2911862,107.3528248,3,,,,,POINT (107.3528248 21.2911862)
763380424,21.1327409,107.3521024,3,,,,,POINT (107.3521024 21.1327409)
763380445,21.2752852,107.3583025,3,,,,,POINT (107.3583025 21.2752852)
763380472,21.0758882,107.3378556,3,,,,,POINT (107.3378556 21.0758882)
763380474,21.1246116,107.3452814,3,,,,,POINT (107.3452814 21.1246116)
763380534,21.0681872,107.3238964,3,,,,,POINT (107.3238964 21.0681872)
763380633,21.0760305,107.3387312,3,,,,,POINT (107.3387312 21.0760305)
763380788,21.0370378,107.3582076,3,,,,,POINT (107.3582076 21.0370378)
763380792,21.0636876,107.3373095,3,,,,,POINT (107.3373095 21.0636876)
763380805,21.2814455,107.3544006,3,,,,,POINT (107.3544006 21.2814455)
763380851,21.0724159,107.326442,3,,,,,POINT (107.326442 21.0724159)
763380914,21.0581787,107.3516299,3,,,,,POINT (107.3516299 21.0581787)
1608492939,21.0444262,107.3811637,3,,,,,POINT (107.3811637 21.0444262)
1608492951,21.0558883,107.4052991,3,,,,,POINT (107.4052991 21.0558883)
1608492959,21.0413107,107.3828186,3,,,,,POINT (107.3828186 21.0413107)
1608492963,21.0775774,107.4323805,3,,,,,POINT (107.4323805 21.0775774)
1608492976,21.0411529,107.3833408,3,,,,,POINT (107.3833408 21.0411529)
1608492989,21.1107791,107.4884099,4,,,,,POINT (107.4884099 21.1107791)
1608492993,21.0752876,107.4256816,3,,,,,POINT (107.4256816 21.0752876)
1608492995,21.0761386,107.427366,3,,,,,POINT (107.427366 21.0761386)
1608492997,21.0943164,107.4494849,3,,,,,POINT (107.4494849 21.0943164)
1608493005,21.0666202,107.4159814,3,,,,,POINT (107.4159814 21.0666202)
