"",Unnamed: 0,power,make_model,fuel,Company Names
8121,10091,12447.0,Headbanger Hollister,Gasoline,Headbanger
3633,4524,11511.0,MV Agusta Brutale 910,Gasoline,MV
228,275,11360.0,Suzuki V-Strom 1000,Gasoline,Suzuki
516,642,1088.0,MV Agusta Turismo Veloce 800,Gasoline,MV
5269,6551,880.0,BMW G 650,Gasoline,BMW
3192,3971,865.0,Triumph Bonneville Newchurch,Gasoline,Triumph
2803,3487,751.0,Norton Commando,Gasoline,Norton
46,60,751.0,Honda X-ADV,Gasoline,Honda
26070,32678,680.0,Benelli Leoncino,Gasoline,Benelli
8975,11174,612.0,Access SP 450,Gasoline,Access
188,232,551.0,Suzuki Burgman 650,Gasoline,Suzuki
19610,24465,544.0,Peugeot Satelis 400,Gasoline,Peugeot
8162,10147,544.0,Piaggio XEvo 400,Gasoline,Piaggio
7197,8943,479.0,Motobi Pesaro,Two Stroke Gasoline,Motobi
2948,3663,476.0,Chinabike,Electric,Chinabike
199,243,476.0,KTM 350 EXC,Gasoline,KTM
3765,4695,408.0,Aprilia SR Max 300,Gasoline,Aprilia
15410,19181,408.0,Elektra Retro,Electric,Elektra
13348,16589,400.0,Kymco MXU 400,Gasoline,Kymco
647,815,367.0,Benelli Pepe,Gasoline,Benelli
8577,10672,360.0,Boss Hoss BHC-3 ZZ4,Gasoline,Boss
21505,26854,349.0,KTM 350 SX,Gasoline,KTM
278,334,349.0,Piaggio MP3 350,Gasoline,Piaggio
2999,3731,345.0,Quadro QV3,Gasoline,Quadro
6522,8101,300.0,Rieju,Two Stroke Gasoline,Rieju
22290,27845,300.0,Kymco Agility 300,Gasoline,Kymco
464,580,299.0,BMW R 50,Others,BMW
392,485,279.0,Honda SH 300,Gasoline,Honda
2251,2791,277.0,Peugeot Geopolis 300,Gasoline,Peugeot
4362,5432,272.0,Kymco Like 200i,Gasoline,Kymco
24347,30473,250.0,Gillet Herstal,Gasoline,Gillet
6459,8018,250.0,Yamaha YZ 250,Gasoline,Yamaha
3358,4189,249.0,Yamaha YBR 250,Gasoline,Yamaha
