vehicle_id,model
BIKE_00000,
BIKE_00001,F 800 Gt
BIKE_00002,Motors Retro Star
BIKE_00003,Rsv4
BIKE_00004,Ninja Zx-6R
BIKE_00005,Mojito 50
BIKE_00006,V-Strom 650
BIKE_00007,Mt-09
BIKE_00008,Super Dink 125
BIKE_00009,Mt-09
BIKE_00010,Sport Glide
BIKE_00011,Ftr 1200
BIKE_00012,Ranger
BIKE_00013,Agility 125
BIKE_00014,Night Rod
BIKE_00015,Hypermotard 939
BIKE_00016,R Ninet
BIKE_00017,Road King
BIKE_00018,Versys 650
BIKE_00019,R 1200 C Montauk
BIKE_00020,R 1200 C Montauk
BIKE_00021,R 1200 C Montauk
BIKE_00022,Softail
BIKE_00023,
BIKE_00024,
BIKE_00025,R Ninet
BIKE_00026,
BIKE_00027,Bonneville T100
BIKE_00028,Vulcan S
BIKE_00029,Speed Triple 1050
BIKE_00030,Low Rider
BIKE_00031,Multistrada 1200
BIKE_00032,
BIKE_00033,Nrg 50
BIKE_00034,S 1000 Xr
BIKE_00035,Multistrada 1200
BIKE_00036,Road King
BIKE_00037,V-Rod
BIKE_00038,Agusta Brutale 675
BIKE_00039,Late Shovel
BIKE_00040,Crf 100
BIKE_00041,Z 1000
BIKE_00042,Bonneville T120
BIKE_00043,1190 Rc8
BIKE_00044,1190 Rc8
BIKE_00045,1190 Rc8
BIKE_00046,Rd 350
BIKE_00047,C 650 Gt
BIKE_00048,Versys 1000
BIKE_00049,
BIKE_00050,500 V
BIKE_00051,Moto Sirion 125
BIKE_00052,
BIKE_00053,
BIKE_00054,
BIKE_00055,Thruxton
BIKE_00056,Niken
BIKE_00057,Road King
BIKE_00058,Road King
BIKE_00059,Xdiavel
BIKE_00060,F 800 Gt
BIKE_00061,S 1000 Xr
BIKE_00062,Multistrada 1200
BIKE_00063,Tiger 800
BIKE_00064,Smr 300 2T
BIKE_00065,X-Adv
BIKE_00066,City
BIKE_00067,X-Adv
BIKE_00068,
BIKE_00069,C 650 Gt
BIKE_00070,R 1200 Rt
BIKE_00071,Xevo 125
BIKE_00072,Xevo 125
BIKE_00073,Xevo 125
BIKE_00074,F 900 Xr
BIKE_00075,Mp3 500
BIKE_00076,Primavera 50
BIKE_00077,Yzf-R1
BIKE_00078,Bonneville T100
BIKE_00079,Nc 750
BIKE_00080,
BIKE_00081,Mp3 300
BIKE_00082,Sh 150
BIKE_00083,Ninja 1000Sx
BIKE_00084,Nc 750
BIKE_00085,Dyna Super Glide
BIKE_00086,Crosstourer
BIKE_00087,Monster 796
BIKE_00088,Monster 796
BIKE_00089,Monster 796
BIKE_00090,X-Max 400
BIKE_00091,R 1200 Gs
BIKE_00092,Intruder M
BIKE_00093,Intruder M
BIKE_00094,Intruder M
BIKE_00095,Ninja Zx-6R
BIKE_00096,V-Strom 1050
BIKE_00097,Gts 300
BIKE_00098,899 Panigale
BIKE_00099,899 Panigale
BIKE_00100,899 Panigale
BIKE_00101,Monster 1100
