vehicle_id,shop_id,daily_rental_usd,available_units,condition
CAR_0000,SHOP_012,876.0,3,Good
CAR_0000,SHOP_005,877.0,1,Excellent
CAR_0001,SHOP_005,367.0,1,Excellent
CAR_0001,SHOP_012,365.0,1,Good
CAR_0002,SHOP_012,369.0,4,Good
CAR_0002,SHOP_005,367.0,3,Excellent
CAR_0003,SHOP_012,370.0,3,Good
CAR_0004,SHOP_006,24.0,3,Excellent
CAR_0005,SHOP_012,128.0,3,Good
CAR_0006,SHOP_005,200.0,1,Fair
CAR_0006,SHOP_012,203.0,4,Excellent
CAR_0007,SHOP_012,397.0,3,Good
CAR_0007,SHOP_005,401.0,1,Good
CAR_0008,SHOP_012,160.0,2,Excellent
CAR_0008,SHOP_005,154.0,4,Good
CAR_0009,SHOP_012,248.0,2,Good
CAR_0010,SHOP_012,3604.0,1,Good
CAR_0010,SHOP_005,3600.0,2,Good
CAR_0011,SHOP_005,3599.0,2,Good
CAR_0011,SHOP_012,3603.0,1,Good
CAR_0012,SHOP_012,3603.0,4,Good
CAR_0013,SHOP_005,221.0,3,Good
CAR_0014,SHOP_005,224.0,4,Good
CAR_0014,SHOP_012,222.0,2,Good
CAR_0015,SHOP_005,225.0,4,Good
CAR_0015,SHOP_012,221.0,2,Fair
CAR_0016,SHOP_012,283.0,1,Good
CAR_0017,SHOP_005,165.0,4,Excellent
CAR_0017,SHOP_012,167.0,4,Good
CAR_0018,SHOP_012,172.0,1,Excellent
CAR_0018,SHOP_005,170.0,3,Good
CAR_0019,SHOP_005,166.0,2,Fair
CAR_0020,SHOP_005,189.0,3,Good
CAR_0021,SHOP_005,1364.0,3,Good
CAR_0021,SHOP_012,1357.0,2,Excellent
CAR_0022,SHOP_005,222.0,1,Excellent
CAR_0022,SHOP_012,228.0,3,Good
CAR_0023,SHOP_005,173.0,1,Excellent
CAR_0024,SHOP_005,176.0,1,Good
CAR_0024,SHOP_012,172.0,4,Good
CAR_0025,SHOP_005,176.0,4,Good
CAR_0025,SHOP_012,180.0,2,Good
CAR_0026,SHOP_005,197.0,3,Fair
CAR_0026,SHOP_012,196.0,4,Excellent
CAR_0027,SHOP_004,78.0,3,Excellent
CAR_0028,SHOP_010,81.0,2,Excellent
CAR_0028,SHOP_006,77.0,1,Good
CAR_0028,SHOP_002,77.0,1,Good
CAR_0029,SHOP_001,81.0,3,Fair
CAR_0030,SHOP_006,54.0,4,Good
CAR_0031,SHOP_008,48.0,2,Excellent
CAR_0031,SHOP_006,41.0,4,Good
CAR_0032,SHOP_005,84.0,1,Excellent
CAR_0032,SHOP_011,81.0,3,Excellent
CAR_0033,SHOP_001,72.0,4,Good
CAR_0034,SHOP_011,72.0,4,Good
CAR_0034,SHOP_008,79.0,1,Fair
CAR_0035,SHOP_004,71.0,1,Excellent
CAR_0035,SHOP_001,79.0,2,Good
CAR_0035,SHOP_007,74.0,4,Good
CAR_0036,SHOP_002,117.0,2,Fair
CAR_0036,SHOP_005,108.0,4,Good
CAR_0037,SHOP_007,43.0,4,Good
CAR_0037,SHOP_004,42.0,2,Excellent
CAR_0038,SHOP_004,62.0,1,Good
CAR_0038,SHOP_001,56.0,4,Good
CAR_0038,SHOP_008,56.0,1,Good
CAR_0039,SHOP_006,51.0,2,Fair
CAR_0040,SHOP_006,54.0,2,Excellent
CAR_0041,SHOP_006,46.0,3,Good
CAR_0041,SHOP_007,47.0,3,Good
CAR_0041,SHOP_011,48.0,2,Good
CAR_0042,SHOP_008,51.0,1,Excellent
CAR_0042,SHOP_002,52.0,1,Excellent
CAR_0043,SHOP_006,37.0,3,Good
CAR_0043,SHOP_001,44.0,1,Good
CAR_0043,SHOP_011,39.0,2,Fair
CAR_0044,SHOP_011,58.0,1,Good
CAR_0044,SHOP_006,60.0,1,Good
CAR_0044,SHOP_001,54.0,1,Good
CAR_0045,SHOP_011,54.0,2,Good
CAR_0045,SHOP_001,53.0,3,Fair
CAR_0046,SHOP_006,60.0,1,Excellent
CAR_0046,SHOP_001,57.0,3,Excellent
CAR_0047,SHOP_008,51.0,2,Good
CAR_0048,SHOP_011,47.0,4,Excellent
CAR_0049,SHOP_006,56.0,2,Excellent
CAR_0050,SHOP_012,2561.0,2,Fair
CAR_0050,SHOP_005,2556.0,3,Good
CAR_0051,SHOP_012,884.0,2,Good
CAR_0052,SHOP_005,249.0,4,Good
CAR_0052,SHOP_012,257.0,2,Good
CAR_0053,SHOP_012,170.0,1,Good
CAR_0054,SHOP_004,146.0,4,Good
CAR_0054,SHOP_008,140.0,1,Fair
CAR_0054,SHOP_010,146.0,4,Good
CAR_0055,SHOP_011,145.0,4,Good
CAR_0056,SHOP_005,145.0,2,Good
CAR_0056,SHOP_010,137.0,2,Fair
CAR_0057,SHOP_012,149.0,1,Good
CAR_0057,SHOP_005,150.0,4,Good
CAR_0058,SHOP_012,147.0,3,Good
CAR_0059,SHOP_012,156.0,3,Excellent
CAR_0059,SHOP_005,147.0,4,Good
CAR_0060,SHOP_012,195.0,4,Excellent
CAR_0060,SHOP_005,191.0,2,Good
CAR_0061,SHOP_012,194.0,1,Good
CAR_0062,SHOP_012,191.0,3,Good
CAR_0062,SHOP_005,194.0,1,Good
CAR_0063,SHOP_005,233.0,4,Good
CAR_0063,SHOP_012,234.0,3,Good
CAR_0064,SHOP_012,879.0,4,Good
CAR_0065,SHOP_005,881.0,4,Excellent
CAR_0065,SHOP_012,878.0,2,Fair
CAR_0066,SHOP_012,881.0,3,Fair
CAR_0066,SHOP_005,879.0,2,Fair
CAR_0067,SHOP_012,1037.0,1,Good
CAR_0067,SHOP_005,1040.0,3,Excellent
CAR_0068,SHOP_012,2242.0,2,Good
CAR_0069,SHOP_005,410.0,2,Fair
CAR_0070,SHOP_005,418.0,1,Fair
CAR_0070,SHOP_012,414.0,2,Fair
CAR_0071,SHOP_005,413.0,2,Excellent
CAR_0071,SHOP_012,418.0,1,Fair
CAR_0072,SHOP_005,216.0,4,Excellent
CAR_0073,SHOP_012,206.0,1,Fair
CAR_0073,SHOP_005,205.0,4,Good
CAR_0074,SHOP_005,210.0,4,Fair
CAR_0074,SHOP_012,213.0,4,Fair
CAR_0075,SHOP_012,211.0,3,Fair
CAR_0075,SHOP_005,210.0,3,Fair
CAR_0076,SHOP_012,397.0,2,Good
CAR_0077,SHOP_005,167.0,1,Good
CAR_0077,SHOP_012,165.0,4,Good
CAR_0078,SHOP_005,227.0,4,Fair
CAR_0078,SHOP_012,228.0,4,Fair
CAR_0079,SHOP_005,353.0,4,Fair
CAR_0080,SHOP_005,251.0,1,Fair
CAR_0080,SHOP_012,246.0,3,Good
CAR_0081,SHOP_005,340.0,4,Good
CAR_0081,SHOP_012,337.0,3,Fair
CAR_0082,SHOP_005,225.0,3,Fair
CAR_0082,SHOP_012,232.0,4,Good
CAR_0083,SHOP_005,230.0,4,Excellent
CAR_0083,SHOP_012,225.0,4,Good
CAR_0084,SHOP_005,226.0,3,Fair
CAR_0084,SHOP_012,228.0,4,Good
CAR_0085,SHOP_012,196.0,4,Good
CAR_0085,SHOP_005,196.0,4,Good
CAR_0086,SHOP_005,193.0,1,Good
CAR_0087,SHOP_005,195.0,1,Excellent
CAR_0088,SHOP_012,433.0,1,Good
CAR_0089,SHOP_005,203.0,1,Good
CAR_0090,SHOP_012,460.0,3,Good
CAR_0090,SHOP_005,459.0,1,Good
CAR_0091,SHOP_012,206.0,1,Good
CAR_0091,SHOP_005,211.0,4,Fair
CAR_0092,SHOP_005,259.0,2,Excellent
CAR_0092,SHOP_012,264.0,3,Excellent
CAR_0093,SHOP_012,439.0,3,Fair
CAR_0093,SHOP_005,438.0,1,Good
CAR_0094,SHOP_012,439.0,4,Excellent
CAR_0095,SHOP_012,441.0,4,Good
CAR_0095,SHOP_005,435.0,3,Fair
CAR_0096,SHOP_012,218.0,3,Good
CAR_0096,SHOP_005,222.0,1,Good
CAR_0097,SHOP_005,480.0,4,Fair
CAR_0097,SHOP_012,481.0,4,Good
CAR_0098,SHOP_012,202.0,3,Good
CAR_0099,SHOP_005,200.0,3,Excellent
CAR_0099,SHOP_012,203.0,2,Excellent
CAR_0100,SHOP_012,205.0,4,Good
CAR_0101,SHOP_012,273.0,4,Fair
CAR_0101,SHOP_005,277.0,1,Good
CAR_0102,SHOP_012,457.0,2,Good
CAR_0103,SHOP_012,266.0,4,Good
CAR_0103,SHOP_005,265.0,3,Good
CAR_0104,SHOP_005,264.0,3,Good
