vehicle_id,brand,model,engine_type,cc_battery,horsepower,top_speed_kmh,accel_0_100,torque,fuel_type,seats,color,price_usd,vehicle_category,vehicle_type
CAR_0000,Ferrari,Sf90 Stradale,V8,3990 cc,963.0,340.0,2.5 sec,800 Nm,Plug-in Hybrid,2.0,Black,1100000.0,Ultra-Luxury,car
CAR_0001,Rolls Royce,Phantom,V12,6749 cc,563.0,250.0,5.3 sec,900 Nm,Petrol,5.0,Grey,460000.0,Ultra-Luxury,car
CAR_0002,Rolls Royce,Phantom,V12,6749 cc,563.0,250.0,5.3 sec,900 Nm,Petrol,5.0,Brown,460000.0,Ultra-Luxury,car
CAR_0003,Rolls Royce,Phantom,V12,6749 cc,563.0,250.0,5.3 sec,900 Nm,Petrol,5.0,Silver,460000.0,Ultra-Luxury,car
CAR_0004,Ford,Ka+,1.2L Petrol,"1,200 cc",70.0,165.0,10.5 sec,100 - 140 Nm,Petrol,5.0,Orange,13500.0,Budget,car
CAR_0005,Mercedes,Gt 63 S,V8,"3,982 cc",630.0,250.0,3.2 sec,900 Nm,Petrol,4.0,Brown,161000.0,Ultra-Luxury,car
CAR_0006,Audi,Audi R8 Gt,V10,"5,204 cc",602.0,320.0,3.6 sec,560 Nm,Petrol,2.0,Black,253290.0,Ultra-Luxury,car
CAR_0007,Bmw,Mclaren 720S,V8,"3,994 cc",710.0,341.0,2.9 sec,770 Nm,Petrol,2.0,Orange,499000.0,Ultra-Luxury,car
CAR_0008,Aston Martin,Vantage F1,V8,"3,982 cc",656.0,314.0,3.6 sec,685 Nm,Petrol,2.0,Grey,193440.0,Ultra-Luxury,car
CAR_0009,Bentley,Continental Gt Azure,V8,"3,996 cc",550.0,318.0,4.0 sec,900 Nm,Petrol,4.0,Red,311000.0,Ultra-Luxury,car
CAR_0010,Lamborghini,Veneno Roadster,V12,"6,498 cc",750.0,356.0,2.9 sec,690 Nm,Petrol,2.0,Red,4500000.0,Ultra-Luxury,car
CAR_0011,Lamborghini,Veneno Roadster,V12,"6,498 cc",750.0,356.0,2.9 sec,690 Nm,Petrol,2.0,Silver,4500000.0,Ultra-Luxury,car
CAR_0012,Lamborghini,Veneno Roadster,V12,"6,498 cc",750.0,356.0,2.9 sec,690 Nm,Petrol,2.0,Grey,4500000.0,Ultra-Luxury,car
CAR_0013,Ferrari,F8 Tributo,V8,"3,900 cc",710.0,340.0,2.9 sec,770 Nm,Petrol,2.0,White,280000.0,Ultra-Luxury,car
CAR_0014,Ferrari,F8 Tributo,V8,"3,900 cc",710.0,340.0,2.9 sec,770 Nm,Petrol,2.0,Brown,280000.0,Ultra-Luxury,car
CAR_0015,Ferrari,F8 Tributo,V8,"3,900 cc",710.0,340.0,2.9 sec,770 Nm,Petrol,2.0,Green,280000.0,Ultra-Luxury,car
CAR_0016,Ferrari,812 Gts,V12,6496 cc,789.0,340.0,2.9 sec,718 Nm,Petrol,2.0,Blue,350000.0,Ultra-Luxury,car
CAR_0017,Ferrari,Portofino,V8,"3,900 cc",592.0,320.0,3.2 sec,760 Nm,Petrol,2.0,Brown,210000.0,Ultra-Luxury,car
CAR_0018,Ferrari,Portofino,V8,"3,900 cc",592.0,320.0,3.2 sec,760 Nm,Petrol,2.0,Red,210000.0,Ultra-Luxury,car
CAR_0019,Ferrari,Portofino,V8,"3,900 cc",592.0,320.0,3.2 sec,760 Nm,Petrol,2.0,Black,210000.0,Ultra-Luxury,car
CAR_0020,Ferrari,Roma,V8,"3,900 cc",612.0,320.0,3.4 sec,760 Nm,Petrol,2.0,Orange,230000.0,Ultra-Luxury,car
CAR_0021,Ferrari,Monza Sp2,V12,"6,496 cc",789.0,340.0,2.9 sec,719 Nm,Petrol,2.0,Red,1700000.0,Ultra-Luxury,car
CAR_0022,Ferrari,F8 Spider,V8,"3,900 cc",710.0,340.0,2.9 sec,770 Nm,Petrol,2.0,Grey,280000.0,Ultra-Luxury,car
CAR_0023,Ferrari,Portofino M,V8,"3,900 cc",612.0,320.0,3.2 sec,760 Nm,Petrol,2.0,White,220000.0,Ultra-Luxury,car
CAR_0024,Ferrari,Portofino M,V8,"3,900 cc",612.0,320.0,3.2 sec,760 Nm,Petrol,2.0,Grey,220000.0,Ultra-Luxury,car
CAR_0025,Ferrari,Portofino M,V8,"3,900 cc",612.0,320.0,3.2 sec,760 Nm,Petrol,2.0,Brown,220000.0,Ultra-Luxury,car
CAR_0026,Ferrari,Roma Spider,V8,"3,900 cc",612.0,320.0,3.4 sec,760 Nm,Petrol,2.0,Red,240000.0,Ultra-Luxury,car
CAR_0027,Toyota,Gr Supra,I4,"2,998 cc",382.0,250.0,4.1 sec,500 Nm,Petrol,2.0,Blue,53900.0,Mid-Range,car
CAR_0028,Toyota,Gr Supra,I4,"2,998 cc",382.0,250.0,4.1 sec,500 Nm,Petrol,2.0,Grey,53900.0,Mid-Range,car
CAR_0029,Toyota,Gr Supra,I4,"2,998 cc",382.0,250.0,4.1 sec,500 Nm,Petrol,2.0,Red,53900.0,Mid-Range,car
CAR_0030,Toyota,Toyota 86,BOXER-4,"1,998 cc",205.0,226.0,6.4 sec,205 Nm,Petrol,2.0,Brown,27000.0,Budget,car
CAR_0031,Toyota,Toyota  Gr86,BOXER-4,"2,387 cc",228.0,226.0,5.6 sec,250 Nm,Petrol,4.0,Orange,30000.0,Mid-Range,car
CAR_0032,Toyota,Toyota Land Cruiser,V8,"5,663 cc",381.0,220.0,6.7 sec,500 Nm,Diesel,7.0,Yellow,85000.0,Luxury,car
CAR_0033,Toyota,Toyota Sequoia,V8,"5,663 cc",381.0,200.0,6.9 sec,651 Nm,Petrol,7.0,Orange,50000.0,Mid-Range,car
CAR_0034,Toyota,Toyota Sequoia,V8,"5,663 cc",381.0,200.0,6.9 sec,651 Nm,Petrol,7.0,Grey,50000.0,Mid-Range,car
CAR_0035,Toyota,Toyota Sequoia,V8,"5,663 cc",381.0,200.0,6.9 sec,651 Nm,Petrol,7.0,Blue,50000.0,Mid-Range,car
CAR_0036,Nissan,Gt-R,V6,"3,799 cc",600.0,315.0,2.9 sec,637 Nm,Petrol,4.0,Grey,113000.0,Luxury,car
CAR_0037,Nissan,370Z,V6,"3,696 cc",332.0,250.0,4.7 sec,366 Nm,Petrol,2.0,Blue,30000.0,Mid-Range,car
CAR_0038,Nissan,Z Proto,V6,"2,998 cc",400.0,290.0,4.1 sec,475 Nm,Petrol,2.0,Red,40000.0,Mid-Range,car
CAR_0039,Nissan,Altima,I4,"2,488 cc",188.0,225.0,7.3 sec,380 Nm,Petrol,5.0,Grey,25000.0,Budget,car
CAR_0040,Nissan,Altima,I4,"2,488 cc",188.0,225.0,7.3 sec,380 Nm,Petrol,5.0,Yellow,25000.0,Budget,car
CAR_0041,Nissan,Altima,I4,"2,488 cc",188.0,225.0,7.3 sec,380 Nm,Petrol,5.0,Green,25000.0,Budget,car
CAR_0042,Nissan,Maxima,V6,"3,498 cc",300.0,240.0,5.8 sec,354 Nm,Petrol,5.0,Silver,35000.0,Mid-Range,car
CAR_0043,Nissan,Sentra,I4,"1,998 cc",149.0,200.0,8.2 sec,240 Nm,Petrol,5.0,Orange,20000.0,Budget,car
CAR_0044,Nissan,Rogue,I4,"2,488 cc",201.0,200.0,7.5 sec,270 Nm,Petrol,5.0,Grey,28000.0,Budget,car
CAR_0045,Nissan,Rogue,I4,"2,488 cc",201.0,200.0,7.5 sec,270 Nm,Petrol,5.0,Silver,28000.0,Budget,car
