vehicle_id,brand,model,power_hp,mileage_km,fuel_type,gear,offer_type,color,price_eur,vehicle_category,year,vehicle_type
BIKE_00000,Honda,,218.0,150,Gasoline,Manual,Demonstration,Red,23990,High-End,2020,motorbike
BIKE_00001,Bmw,F 800 Gt,90.0,2871,Gasoline,Manual,Used,White,7500,Mid-Range,2018,motorbike
BIKE_00002,Nova,Motors Retro Star,3.0,1700,Gasoline,,Used,Red,800,Budget,2019,motorbike
BIKE_00003,Aprilia,Rsv4,42.0,24345,Gasoline,,Used,Silver,14990,Premium,2016,motorbike
BIKE_00004,Kawasaki,Ninja Zx-6R,128.0,25000,Gasoline,,Used,Blue,6200,Mid-Range,2009,motorbike
BIKE_00005,Aprilia,Mojito 50,1.0,3000,Gasoline,,Used,Black,1500,Budget,2010,motorbike
BIKE_00006,Suzuki,V-Strom 650,71.0,1,Gasoline,,Pre-registered,Yellow,10500,Premium,2021,motorbike
BIKE_00007,Yamaha,Mt-09,105.0,13000,Gasoline,,Used,Blue,8500,Premium,2018,motorbike
BIKE_00008,Kymco,Super Dink 125,15.0,19000,Gasoline,,Used,Grey,2000,Budget,2016,motorbike
BIKE_00009,Yamaha,Mt-09,126.0,6400,Gasoline,,Used,Grey,8250,Premium,2019,motorbike
BIKE_00010,Harley-Davidson,Sport Glide,84.0,2900,Gasoline,Manual,Used,Black,23600,High-End,2019,motorbike
BIKE_00011,Indian,Ftr 1200,126.0,1750,Gasoline,,Used,Black,12500,Premium,2019,motorbike
BIKE_00012,Ural,Ranger,41.0,700,Gasoline,Manual,Used,Black,18000,Premium,2021,motorbike
BIKE_00013,Kymco,Agility 125,10.0,14000,Gasoline,,Used,Black,1150,Budget,2015,motorbike
BIKE_00014,Harley-Davidson,Night Rod,125.0,80000,Gasoline,Manual,Used,Black,10000,Premium,2010,motorbike
BIKE_00015,Ducati,Hypermotard 939,110.0,15300,Gasoline,,Used,Red,10000,Premium,2018,motorbike
BIKE_00016,Bmw,R Ninet,110.0,4178,Gasoline,,Used,White,12200,Premium,2018,motorbike
BIKE_00017,Harley-Davidson,Road King,82.0,18000,Gasoline,Manual,Used,Black,12500,Premium,1996,motorbike
BIKE_00018,Kawasaki,Versys 650,113.0,10000,Unknown,Manual,Used,Black,9490,Premium,2019,motorbike
BIKE_00019,Bmw,R 1200 C Montauk,61.0,12600,Gasoline,Manual,Used,Silver,9490,Premium,2004,motorbike
BIKE_00020,Bmw,R 1200 C Montauk,61.0,12600,Gasoline,Manual,Used,Blue,9490,Premium,2004,motorbike
BIKE_00021,Bmw,R 1200 C Montauk,61.0,12600,Gasoline,Manual,Used,Black,9490,Premium,2004,motorbike
BIKE_00022,Harley-Davidson,Softail,64.0,49500,Gasoline,,Used,Blue,10000,Premium,2004,motorbike
BIKE_00023,Yamaha,,73.0,0,Unknown,,New,Grey,9999,Premium,2021,motorbike
BIKE_00024,Suzuki,,185.0,10551,Gasoline,Manual,Used,Blue,10950,Premium,2015,motorbike
BIKE_00025,Bmw,R Ninet,110.0,0,Unknown,,New,White,16690,Premium,2019,motorbike
BIKE_00026,Others,,15.0,60,Unknown,Automatic,Used,Red,1100,Budget,2018,motorbike
BIKE_00027,Triumph,Bonneville T100,68.0,27630,Unknown,,Used,Black,6590,Mid-Range,2009,motorbike
BIKE_00028,Kawasaki,Vulcan S,61.0,8470,Gasoline,,Used,Orange,7000,Mid-Range,2019,motorbike
BIKE_00029,Triumph,Speed Triple 1050,131.0,14500,Gasoline,,Used,White,7650,Mid-Range,2010,motorbike
BIKE_00030,Harley-Davidson,Low Rider,57.0,52000,Gasoline,Manual,Used,Black,8300,Premium,1989,motorbike
BIKE_00031,Ducati,Multistrada 1200,152.0,41973,Gasoline,Manual,Used,White,11300,Premium,2016,motorbike
BIKE_00032,Kawasaki,,203.0,6000,Unknown,,Used,Black,19990,Premium,2019,motorbike
BIKE_00033,Piaggio,Nrg 50,4.0,9288,Gasoline,Automatic,Used,Black,100,Budget,2020,motorbike
BIKE_00034,Bmw,S 1000 Xr,165.0,7883,Gasoline,Manual,Used,Red,13490,Premium,2018,motorbike
BIKE_00035,Ducati,Multistrada 1200,148.0,36000,Gasoline,,Used,Red,10000,Premium,2012,motorbike
BIKE_00036,Harley-Davidson,Road King,101.0,99000,Gasoline,Manual,Used,Black,12400,Premium,2009,motorbike
BIKE_00037,Harley-Davidson,V-Rod,117.0,35000,Gasoline,,Used,Silver,9500,Premium,2003,motorbike
BIKE_00038,Mv,Agusta Brutale 675,110.0,4935,Gasoline,Manual,Used,White,6990,Mid-Range,2012,motorbike
BIKE_00039,Harley-Davidson,Late Shovel,71.0,25000,Gasoline,,Used,Black,9000,Premium,1980,motorbike
BIKE_00040,Honda,Crf 100,102.0,20000,Gasoline,,Used,Blue,12500,Premium,2018,motorbike
BIKE_00041,Kawasaki,Z 1000,145.0,6000,Gasoline,,Used,Green,10750,Premium,2019,motorbike
BIKE_00042,Triumph,Bonneville T120,79.0,16829,Unknown,,Used,Black,10790,Premium,2016,motorbike
BIKE_00043,Ktm,1190 Rc8,170.0,30000,Gasoline,Manual,Used,White,11500,Premium,2012,motorbike
BIKE_00044,Ktm,1190 Rc8,170.0,30000,Gasoline,Manual,Used,Black,11500,Premium,2012,motorbike
BIKE_00045,Ktm,1190 Rc8,170.0,30000,Gasoline,Manual,Used,Grey,11500,Premium,2012,motorbike
BIKE_00046,Yamaha,Rd 350,1.0,1,Gasoline,,Antique / Classic,Blue,7200,Mid-Range,1983,motorbike
BIKE_00047,Bmw,C 650 Gt,110.0,2800,Gasoline,,Used,Black,10890,Premium,2020,motorbike
BIKE_00048,Kawasaki,Versys 1000,113.0,26700,Unknown,Manual,Used,Black,11990,Premium,2017,motorbike
BIKE_00049,Zero,,110.0,250,Electric,Automatic,Demonstration,Grey,22490,High-End,2021,motorbike
BIKE_00050,Bimota,500 V,109.0,500,Gasoline,,Used,Red,30000,High-End,2000,motorbike
BIKE_00051,Ksr,Moto Sirion 125,11.0,777,Gasoline,,Used,Red,1000,Budget,2018,motorbike
BIKE_00052,Online,,69.0,4350,Gasoline,,Used,Blue,7150,Mid-Range,2020,motorbike
BIKE_00053,Online,,69.0,4350,Gasoline,,Used,Black,7150,Mid-Range,2020,motorbike
