trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
hanoi_9684066_trip_0,05:30:00,05:30:00,osm_node_6819506969,0,0,0
hanoi_9684066_trip_0,05:32:30,05:32:30,osm_node_6544472077,1,0,0
hanoi_9684066_trip_0,05:35:00,05:35:00,osm_node_6544472078,2,0,0
hanoi_9684066_trip_0,05:37:30,05:37:30,osm_node_6544472079,3,0,0
hanoi_9684066_trip_0,05:40:00,05:40:00,osm_node_6819506966,4,0,0
hanoi_9684066_trip_0,05:42:30,05:42:30,osm_node_6819506965,5,0,0
hanoi_9684066_trip_0,05:45:00,05:45:00,osm_node_6544472082,6,0,0
hanoi_9684066_trip_0,05:47:30,05:47:30,osm_node_6544472083,7,0,0
hanoi_9684066_trip_0,05:50:00,05:50:00,osm_node_6544472084,8,0,0
hanoi_9684066_trip_0,05:52:30,05:52:30,osm_node_6819506960,9,0,0
hanoi_9684066_trip_0,05:55:00,05:55:00,osm_node_6819506959,10,0,0
hanoi_9684066_trip_0,05:57:30,05:57:30,osm_node_5875623880,11,0,0
hanoi_9684066_trip_1,05:40:00,05:40:00,osm_node_6819506969,0,0,0
hanoi_9684066_trip_1,05:42:30,05:42:30,osm_node_6544472077,1,0,0
hanoi_9684066_trip_1,05:45:00,05:45:00,osm_node_6544472078,2,0,0
hanoi_9684066_trip_1,05:47:30,05:47:30,osm_node_6544472079,3,0,0
hanoi_9684066_trip_1,05:50:00,05:50:00,osm_node_6819506966,4,0,0
hanoi_9684066_trip_1,05:52:30,05:52:30,osm_node_6819506965,5,0,0
hanoi_9684066_trip_1,05:55:00,05:55:00,osm_node_6544472082,6,0,0
hanoi_9684066_trip_1,05:57:30,05:57:30,osm_node_6544472083,7,0,0
hanoi_9684066_trip_1,06:00:00,06:00:00,osm_node_6544472084,8,0,0
hanoi_9684066_trip_1,06:02:30,06:02:30,osm_node_6819506960,9,0,0
hanoi_9684066_trip_1,06:05:00,06:05:00,osm_node_6819506959,10,0,0
hanoi_9684066_trip_1,06:07:30,06:07:30,osm_node_5875623880,11,0,0
hanoi_9684066_trip_2,05:50:00,05:50:00,osm_node_6819506969,0,0,0
hanoi_9684066_trip_2,05:52:30,05:52:30,osm_node_6544472077,1,0,0
hanoi_9684066_trip_2,05:55:00,05:55:00,osm_node_6544472078,2,0,0
hanoi_9684066_trip_2,05:57:30,05:57:30,osm_node_6544472079,3,0,0
hanoi_9684066_trip_2,06:00:00,06:00:00,osm_node_6819506966,4,0,0
hanoi_9684066_trip_2,06:02:30,06:02:30,osm_node_6819506965,5,0,0
hanoi_9684066_trip_2,06:05:00,06:05:00,osm_node_6544472082,6,0,0
hanoi_9684066_trip_2,06:07:30,06:07:30,osm_node_6544472083,7,0,0
hanoi_9684066_trip_2,06:10:00,06:10:00,osm_node_6544472084,8,0,0
hanoi_9684066_trip_2,06:12:30,06:12:30,osm_node_6819506960,9,0,0
hanoi_9684066_trip_2,06:15:00,06:15:00,osm_node_6819506959,10,0,0
hanoi_9684066_trip_2,06:17:30,06:17:30,osm_node_5875623880,11,0,0
hanoi_9684066_trip_3,06:00:00,06:00:00,osm_node_6819506969,0,0,0
hanoi_9684066_trip_3,06:02:30,06:02:30,osm_node_6544472077,1,0,0
hanoi_9684066_trip_3,06:05:00,06:05:00,osm_node_6544472078,2,0,0
hanoi_9684066_trip_3,06:07:30,06:07:30,osm_node_6544472079,3,0,0
hanoi_9684066_trip_3,06:10:00,06:10:00,osm_node_6819506966,4,0,0
hanoi_9684066_trip_3,06:12:30,06:12:30,osm_node_6819506965,5,0,0
hanoi_9684066_trip_3,06:15:00,06:15:00,osm_node_6544472082,6,0,0
hanoi_9684066_trip_3,06:17:30,06:17:30,osm_node_6544472083,7,0,0
hanoi_9684066_trip_3,06:20:00,06:20:00,osm_node_6544472084,8,0,0
hanoi_9684066_trip_3,06:22:30,06:22:30,osm_node_6819506960,9,0,0
hanoi_9684066_trip_3,06:25:00,06:25:00,osm_node_6819506959,10,0,0
hanoi_9684066_trip_3,06:27:30,06:27:30,osm_node_5875623880,11,0,0
hanoi_9684066_trip_4,06:10:00,06:10:00,osm_node_6819506969,0,0,0
hanoi_9684066_trip_4,06:12:30,06:12:30,osm_node_6544472077,1,0,0
hanoi_9684066_trip_4,06:15:00,06:15:00,osm_node_6544472078,2,0,0
hanoi_9684066_trip_4,06:17:30,06:17:30,osm_node_6544472079,3,0,0
hanoi_9684066_trip_4,06:20:00,06:20:00,osm_node_6819506966,4,0,0
hanoi_9684066_trip_4,06:22:30,06:22:30,osm_node_6819506965,5,0,0
hanoi_9684066_trip_4,06:25:00,06:25:00,osm_node_6544472082,6,0,0
hanoi_9684066_trip_4,06:27:30,06:27:30,osm_node_6544472083,7,0,0
hanoi_9684066_trip_4,06:30:00,06:30:00,osm_node_6544472084,8,0,0
hanoi_9684066_trip_4,06:32:30,06:32:30,osm_node_6819506960,9,0,0
hanoi_9684066_trip_4,06:35:00,06:35:00,osm_node_6819506959,10,0,0
hanoi_9684066_trip_4,06:37:30,06:37:30,osm_node_5875623880,11,0,0
hanoi_9684066_trip_5,06:20:00,06:20:00,osm_node_6819506969,0,0,0
hanoi_9684066_trip_5,06:22:30,06:22:30,osm_node_6544472077,1,0,0
hanoi_9684066_trip_5,06:25:00,06:25:00,osm_node_6544472078,2,0,0
hanoi_9684066_trip_5,06:27:30,06:27:30,osm_node_6544472079,3,0,0
hanoi_9684066_trip_5,06:30:00,06:30:00,osm_node_6819506966,4,0,0
hanoi_9684066_trip_5,06:32:30,06:32:30,osm_node_6819506965,5,0,0
