shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_hcmc_11919222,10.8796111,106.8140678,0,0
shape_hcmc_11919222,10.8663195,106.801193,1,120
shape_hcmc_11919222,10.8590126,106.7888225,2,240
shape_hcmc_11919222,10.8464116,106.7716333,3,360
shape_hcmc_11919222,10.8326791,106.7638872,4,480
shape_hcmc_11919222,10.8214282,106.7581599,5,600
shape_hcmc_11919222,10.8085541,106.755247,6,720
shape_hcmc_11919222,10.8021999,106.7422332,7,840
shape_hcmc_11919222,10.8005113,106.7336461,8,960
shape_hcmc_11919222,10.7986171,106.7233192,9,1080
shape_hcmc_11919222,10.7960829,106.7154943,10,1200
shape_hcmc_11919222,10.7820821,106.7083481,11,1320
shape_hcmc_11919222,10.7756293,106.7021468,12,1440
shape_hcmc_11919222,10.7709021,106.6974617,13,1560
shape_hcmc_11919223,10.7707525,106.6976235,0,0
shape_hcmc_11919223,10.7755113,106.7022619,1,120
shape_hcmc_11919223,10.7819867,106.708464,2,240
shape_hcmc_11919223,10.7960451,106.7155211,3,360
shape_hcmc_11919223,10.7985812,106.7233239,4,480
shape_hcmc_11919223,10.8004707,106.7336535,5,600
shape_hcmc_11919223,10.8020845,106.7422533,6,720
shape_hcmc_11919223,10.8085376,106.7552804,7,840
shape_hcmc_11919223,10.821417,106.7581973,8,960
shape_hcmc_11919223,10.8326599,106.7639195,9,1080
shape_hcmc_11919223,10.846403,106.7716657,10,1200
shape_hcmc_11919223,10.8589744,106.7888389,11,1320
shape_hcmc_11919223,10.8662864,106.8012088,12,1440
shape_hcmc_11919223,10.8795689,106.81417,13,1560
